variant,baseline,target_wave,n_train,global_count,raw_window_count,training_count,global_predictors,raw_window_predictors,training_predictors,raw_window_identical,eligibility_identical,effective_predictors_identical,added,removed
1290,covariates_only,w11,10614,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,covariates_only,w14,20105,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,covariates_only,w15,28599,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,covariates_only,w22,44012,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,covariates_only,w23,55825,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,covariates_only,w25,66551,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,covariates_only,w26,76366,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,lag_covariates,w14,8507,9,9,8,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,FALSE,TRUE,,kp_020
1290,lag_covariates,w15,15825,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,lag_covariates,w22,23236,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,lag_covariates,w23,34124,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,lag_covariates,w25,43596,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290,lag_covariates,w26,51993,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w11,10614,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w14,20105,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w15,28599,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w22,44012,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w23,55825,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w25,66551,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,covariates_only,w26,76366,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,lag_covariates,w14,8507,9,9,8,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,FALSE,TRUE,,kp_020
1290_original_scale,lag_covariates,w15,15825,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,lag_covariates,w22,23236,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,lag_covariates,w23,34124,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,lag_covariates,w25,43596,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1290_original_scale,lag_covariates,w26,51993,9,9,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1500,covariates_only,w14,9699,9,9,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1500,covariates_only,w15,17595,9,9,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1500,covariates_only,w22,31935,9,9,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1500,covariates_only,w23,42881,9,9,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1500,covariates_only,w25,52777,9,9,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
1500,covariates_only,w26,61862,9,9,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,TRUE,TRUE,TRUE,,
