variant,baseline,target_wave,predictor,n_train,n_observed,coverage,observed_levels,globally_eligible,training_eligible
1290,covariates_only,w11,kp_010,10614,10614,1,6,TRUE,TRUE
1290,covariates_only,w11,kp_020,10614,10614,1,6,TRUE,TRUE
1290,covariates_only,w11,kp_1130,10614,10614,1,8,TRUE,TRUE
1290,covariates_only,w11,kp_1500,10614,10614,1,14,TRUE,TRUE
1290,covariates_only,w11,kp_780,10614,10614,1,7,TRUE,TRUE
1290,covariates_only,w11,kp_820,10614,10614,1,7,TRUE,TRUE
1290,covariates_only,w11,pi_2280,10614,10611,0.9997173544375353,2,TRUE,TRUE
1290,covariates_only,w11,pi_2290s,10614,10611,0.9997173544375353,45,FALSE,FALSE
1290,covariates_only,w11,pi_2320,10614,10611,0.9997173544375353,8,TRUE,TRUE
1290,covariates_only,w11,pi_2591,10614,10378,0.9777652157527793,13,TRUE,TRUE
1290,covariates_only,w14,kp_010,20105,20105,1,6,TRUE,TRUE
1290,covariates_only,w14,kp_020,20105,10614,0.5279283760258642,6,TRUE,TRUE
1290,covariates_only,w14,kp_1130,20105,20105,1,8,TRUE,TRUE
1290,covariates_only,w14,kp_1500,20105,20105,1,14,TRUE,TRUE
1290,covariates_only,w14,kp_780,20105,20105,1,7,TRUE,TRUE
1290,covariates_only,w14,kp_820,20105,20105,1,7,TRUE,TRUE
1290,covariates_only,w14,pi_2280,20105,20098,0.9996518279035066,2,TRUE,TRUE
1290,covariates_only,w14,pi_2290s,20105,20098,0.9996518279035066,45,FALSE,FALSE
1290,covariates_only,w14,pi_2320,20105,20098,0.9996518279035066,8,TRUE,TRUE
1290,covariates_only,w14,pi_2591,20105,19655,0.9776175080825665,13,TRUE,TRUE
1290,covariates_only,w15,kp_010,28599,28599,1,6,TRUE,TRUE
1290,covariates_only,w15,kp_020,28599,19108,0.6681352494842477,6,TRUE,TRUE
1290,covariates_only,w15,kp_1130,28599,28599,1,9,TRUE,TRUE
1290,covariates_only,w15,kp_1500,28599,28599,1,14,TRUE,TRUE
1290,covariates_only,w15,kp_780,28599,28599,1,7,TRUE,TRUE
1290,covariates_only,w15,kp_820,28599,28599,1,7,TRUE,TRUE
1290,covariates_only,w15,pi_2280,28599,28585,0.9995104723941397,2,TRUE,TRUE
1290,covariates_only,w15,pi_2290s,28599,28585,0.9995104723941397,45,FALSE,FALSE
1290,covariates_only,w15,pi_2320,28599,28585,0.9995104723941397,8,TRUE,TRUE
1290,covariates_only,w15,pi_2591,28599,27955,0.9774817301304242,13,TRUE,TRUE
1290,covariates_only,w22,kp_010,44012,44012,1,6,TRUE,TRUE
1290,covariates_only,w22,kp_020,44012,34521,0.784354267018086,6,TRUE,TRUE
1290,covariates_only,w22,kp_1130,44012,44012,1,9,TRUE,TRUE
1290,covariates_only,w22,kp_1500,44012,44012,1,14,TRUE,TRUE
1290,covariates_only,w22,kp_780,44012,44012,1,7,TRUE,TRUE
1290,covariates_only,w22,kp_820,44012,44012,1,7,TRUE,TRUE
1290,covariates_only,w22,pi_2280,44012,43990,0.9995001363264564,2,TRUE,TRUE
1290,covariates_only,w22,pi_2290s,44012,43990,0.9995001363264564,49,FALSE,FALSE
1290,covariates_only,w22,pi_2320,44012,43990,0.9995001363264564,8,TRUE,TRUE
1290,covariates_only,w22,pi_2591,44012,43096,0.979187494319731,13,TRUE,TRUE
1290,covariates_only,w23,kp_010,55825,55825,1,6,TRUE,TRUE
1290,covariates_only,w23,kp_020,55825,46334,0.829986565158979,6,TRUE,TRUE
1290,covariates_only,w23,kp_1130,55825,55825,1,9,TRUE,TRUE
1290,covariates_only,w23,kp_1500,55825,55825,1,14,TRUE,TRUE
1290,covariates_only,w23,kp_780,55825,55825,1,7,TRUE,TRUE
1290,covariates_only,w23,kp_820,55825,55825,1,7,TRUE,TRUE
1290,covariates_only,w23,pi_2280,55825,55797,0.9994984326018809,2,TRUE,TRUE
1290,covariates_only,w23,pi_2290s,55825,55797,0.9994984326018809,49,FALSE,FALSE
1290,covariates_only,w23,pi_2320,55825,55797,0.9994984326018809,8,TRUE,TRUE
1290,covariates_only,w23,pi_2591,55825,54707,0.9799731303179579,13,TRUE,TRUE
1290,covariates_only,w25,kp_010,66551,66551,1,6,TRUE,TRUE
1290,covariates_only,w25,kp_020,66551,57060,0.8573875674294902,7,TRUE,TRUE
1290,covariates_only,w25,kp_1130,66551,66551,1,9,TRUE,TRUE
1290,covariates_only,w25,kp_1500,66551,66551,1,14,TRUE,TRUE
1290,covariates_only,w25,kp_780,66551,66551,1,7,TRUE,TRUE
1290,covariates_only,w25,kp_820,66551,66551,1,7,TRUE,TRUE
1290,covariates_only,w25,pi_2280,66551,66517,0.999489113612117,2,TRUE,TRUE
1290,covariates_only,w25,pi_2290s,66551,66517,0.999489113612117,49,FALSE,FALSE
1290,covariates_only,w25,pi_2320,66551,66517,0.999489113612117,8,TRUE,TRUE
1290,covariates_only,w25,pi_2591,66551,65241,0.9803158479962736,13,TRUE,TRUE
1290,covariates_only,w26,kp_010,76366,76366,1,6,TRUE,TRUE
1290,covariates_only,w26,kp_020,76366,66875,0.8757169420946495,7,TRUE,TRUE
1290,covariates_only,w26,kp_1130,76366,76366,1,9,TRUE,TRUE
1290,covariates_only,w26,kp_1500,76366,76366,1,14,TRUE,TRUE
1290,covariates_only,w26,kp_780,76366,76366,1,7,TRUE,TRUE
1290,covariates_only,w26,kp_820,76366,76366,1,7,TRUE,TRUE
1290,covariates_only,w26,pi_2280,76366,76325,0.9994631118560616,2,TRUE,TRUE
1290,covariates_only,w26,pi_2290s,76366,76325,0.9994631118560616,49,FALSE,FALSE
1290,covariates_only,w26,pi_2320,76366,76325,0.9994631118560616,8,TRUE,TRUE
1290,covariates_only,w26,pi_2591,76366,74868,0.9803839404970799,13,TRUE,TRUE
1290,lag_covariates,w14,kp_010,8507,8507,1,6,TRUE,TRUE
1290,lag_covariates,w14,kp_020,8507,0,0,0,TRUE,FALSE
1290,lag_covariates,w14,kp_1130,8507,8507,1,8,TRUE,TRUE
1290,lag_covariates,w14,kp_1500,8507,8507,1,14,TRUE,TRUE
1290,lag_covariates,w14,kp_780,8507,8507,1,6,TRUE,TRUE
1290,lag_covariates,w14,kp_820,8507,8507,1,6,TRUE,TRUE
1290,lag_covariates,w14,pi_2280,8507,8506,0.9998824497472669,2,TRUE,TRUE
1290,lag_covariates,w14,pi_2290s,8507,8506,0.9998824497472669,45,FALSE,FALSE
1290,lag_covariates,w14,pi_2320,8507,8506,0.9998824497472669,7,TRUE,TRUE
1290,lag_covariates,w14,pi_2591,8507,8329,0.9790760550135182,13,TRUE,TRUE
1290,lag_covariates,w15,kp_010,15825,15825,1,6,TRUE,TRUE
1290,lag_covariates,w15,kp_020,15825,7318,0.46243285939968404,6,TRUE,TRUE
1290,lag_covariates,w15,kp_1130,15825,15825,1,9,TRUE,TRUE
1290,lag_covariates,w15,kp_1500,15825,15825,1,14,TRUE,TRUE
1290,lag_covariates,w15,kp_780,15825,15825,1,6,TRUE,TRUE
1290,lag_covariates,w15,kp_820,15825,15825,1,6,TRUE,TRUE
1290,lag_covariates,w15,pi_2280,15825,15823,0.9998736176935229,2,TRUE,TRUE
1290,lag_covariates,w15,pi_2290s,15825,15823,0.9998736176935229,45,FALSE,FALSE
1290,lag_covariates,w15,pi_2320,15825,15823,0.9998736176935229,8,TRUE,TRUE
1290,lag_covariates,w15,pi_2591,15825,15504,0.9797156398104265,13,TRUE,TRUE
1290,lag_covariates,w22,kp_010,23236,23236,1,6,TRUE,TRUE
1290,lag_covariates,w22,kp_020,23236,14729,0.6338870717851609,6,TRUE,TRUE
1290,lag_covariates,w22,kp_1130,23236,23236,1,9,TRUE,TRUE
