variant,baseline,target_wave,reference_file,n_train_matches,fitted_predictors_match,predictor_count_matches
1290,covariates_only,w11,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w11,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w14,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w14,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w15,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w15,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w22,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w22,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w23,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w23,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w25,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w25,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w26,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,covariates_only,w26,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w14,lag_covariate_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w14,lag_covariate_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w15,lag_covariate_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w15,lag_covariate_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w22,lag_covariate_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w22,lag_covariate_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w23,lag_covariate_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w23,lag_covariate_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w25,lag_covariate_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w25,lag_covariate_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w26,lag_covariate_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290,lag_covariates,w26,lag_covariate_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w11,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w11,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w14,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w14,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w15,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w15,covariates_only_multinomial_logit_diagnostics.csv,TRUE,TRUE,TRUE
1290_original_scale,covariates_only,w22,covariates_only_ordinal_probit_diagnostics.csv,TRUE,TRUE,TRUE
