model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Llama-3_3-70B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,4421,1565,0.3539923094322551,0.007192096404302077,0.33989580047982304,0.3680888183846872
Llama-3_3-70B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,6294,1903,0.3023514458214172,0.005789099377013328,0.2910048110424711,0.3136980806003633
Llama-3_3-70B-Instruct,baseline,maennlich,low_income,before_university_track,correct_prediction,8142,3122,0.38344387128469665,0.0053885468220307865,0.3728823195135163,0.394005423055877
Llama-3_3-70B-Instruct,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,5393,1491,0.27646949749675503,0.0060902738870294935,0.2645325606781772,0.28840643431533286
Llama-3_3-70B-Instruct,baseline,maennlich,middle_income,before_university_track,correct_prediction,10372,3812,0.367527959892017,0.004734069217544359,0.35824918422563,0.37680673555840394
Llama-3_3-70B-Instruct,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2001,0.3100883310088331,0.0057578271668843415,0.2988029897617398,0.3213736722559264
Llama-3_3-70B-Instruct,baseline,weiblich,high_income,before_university_track,correct_prediction,3702,1247,0.33684494867639114,0.007767913008575952,0.32161983917958226,0.35207005817320003
Llama-3_3-70B-Instruct,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4782,1307,0.27331660393140944,0.006444672321168028,0.2606850461819201,0.28594816168089876
Llama-3_3-70B-Instruct,baseline,weiblich,low_income,before_university_track,correct_prediction,9801,3535,0.3606774818896031,0.00485047555878289,0.3511705497943886,0.37018441398481755
Llama-3_3-70B-Instruct,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,5460,1367,0.25036630036630036,0.005862949663428464,0.23887491902598057,0.26185768170662016
Llama-3_3-70B-Instruct,baseline,weiblich,middle_income,before_university_track,correct_prediction,10694,3888,0.3635683560875257,0.0046515621807988764,0.3544512942131599,0.3726854179618915
Llama-3_3-70B-Instruct,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,1806,0.2691906394395588,0.0054150582386324,0.2585771252918393,0.2798041535872783
Llama-3_3-70B-Instruct,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,4421,1546,0.3496946392218955,0.0071720432020297405,0.3356374345459172,0.36375184389787374
Llama-3_3-70B-Instruct,baseline_notime,maennlich,high_income,university_track_or_higher,correct_prediction,6294,1938,0.30791229742612014,0.0058187636086416234,0.29650752075318254,0.31931707409905774
Llama-3_3-70B-Instruct,baseline_notime,maennlich,low_income,before_university_track,correct_prediction,8142,3162,0.3883566691230656,0.005401308177273222,0.3777701050956101,0.3989432331505211
Llama-3_3-70B-Instruct,baseline_notime,maennlich,low_income,university_track_or_higher,correct_prediction,5393,1542,0.2859262006304469,0.006152949005298144,0.2738664205800625,0.29798598068083126
Llama-3_3-70B-Instruct,baseline_notime,maennlich,middle_income,before_university_track,correct_prediction,10372,3819,0.36820285383725415,0.004735885032841071,0.35892051917288564,0.37748518850162266
Llama-3_3-70B-Instruct,baseline_notime,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2009,0.31132806446613975,0.0057641396733743465,0.30003035070632605,0.32262577822595345
Llama-3_3-70B-Instruct,baseline_notime,weiblich,high_income,before_university_track,correct_prediction,3702,1217,0.3287412209616424,0.007720649981915024,0.3136087469970889,0.34387369492619585
Llama-3_3-70B-Instruct,baseline_notime,weiblich,high_income,university_track_or_higher,correct_prediction,4782,1298,0.2714345462149728,0.0064307564460514745,0.25883026358071193,0.2840388288492337
Llama-3_3-70B-Instruct,baseline_notime,weiblich,low_income,before_university_track,correct_prediction,9803,3499,0.3569315515658472,0.004838843425708809,0.34744741845145793,0.3664156846802365
Llama-3_3-70B-Instruct,baseline_notime,weiblich,low_income,university_track_or_higher,correct_prediction,5460,1415,0.2591575091575092,0.00592991569170814,0.24753487440176122,0.2707801439132571
