delta_H,delta_L,count,row_percent
-2,-2,6,0.02608695652173913
-2,-1,1,0.004347826086956522
-2,0,223,0.9695652173913043
-2,1,0,0
-2,2,0,0
-1,-2,0,0
-1,-1,1,0.0012376237623762376
-1,0,807,0.9987623762376238
-1,1,0,0
-1,2,0,0
0,-2,2,3.365870077415012e-4
0,-1,0,0
0,0,5934,0.998653651969034
0,1,5,8.41467519353753e-4
0,2,1,1.682935038707506e-4
1,-2,0,0
1,-1,0,0
1,0,1151,0.9896818572656921
1,1,6,0.005159071367153913
1,2,6,0.005159071367153913
2,-2,0,0
2,-1,0,0
2,0,357,0.9807692307692307
2,1,0,0
2,2,7,0.019230769230769232
