delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,0,0
-2,0,40,0.26143790849673204
-2,1,23,0.1503267973856209
-2,2,90,0.5882352941176471
-1,-2,0,0
-1,-1,57,0.07470511140235911
-1,0,244,0.3197903014416776
-1,1,363,0.47575360419397117
-1,2,99,0.12975098296199214
0,-2,137,0.029006987084480202
0,-1,355,0.07516409062036841
0,0,3540,0.7495236078763498
0,1,554,0.11729832733432141
0,2,137,0.029006987084480202
1,-2,58,0.07134071340713408
1,-1,238,0.29274292742927427
1,0,418,0.5141451414514145
1,1,92,0.11316113161131611
1,2,7,0.008610086100861008
2,-2,53,0.3419354838709677
2,-1,20,0.12903225806451613
2,0,82,0.5290322580645161
2,1,0,0
2,2,0,0
