delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,0,0
-2,0,31,0.20261437908496732
-2,1,28,0.1830065359477124
-2,2,94,0.6143790849673203
-1,-2,0,0
-1,-1,44,0.057667103538663174
-1,0,211,0.2765399737876802
-1,1,405,0.5307994757536042
-1,2,103,0.1349934469200524
0,-2,68,0.014397628625873385
0,-1,307,0.06500105864916367
0,0,3573,0.756510692356553
0,1,623,0.13190768579292822
0,2,152,0.032182934575481686
1,-2,30,0.03690036900369004
1,-1,248,0.3050430504305043
1,0,431,0.5301353013530136
1,1,104,0.12792127921279212
1,2,0,0
2,-2,41,0.2645161290322581
2,-1,27,0.17419354838709677
2,0,87,0.5612903225806452
2,1,0,0
2,2,0,0
