delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,12,0.04819277108433735
-2,0,61,0.24497991967871485
-2,1,107,0.42971887550200805
-2,2,69,0.27710843373493976
-1,-2,0,0
-1,-1,59,0.08082191780821918
-1,0,267,0.36575342465753424
-1,1,348,0.4767123287671233
-1,2,56,0.07671232876712329
0,-2,26,0.004833612195575386
0,-1,428,0.07956869306562558
0,0,3826,0.7112846253950549
0,1,947,0.176055028815765
0,2,152,0.02825804052797918
1,-2,20,0.01876172607879925
1,-1,240,0.225140712945591
1,0,688,0.6454033771106942
1,1,118,0.11069418386491557
1,2,0,0
2,-2,41,0.1111111111111111
2,-1,109,0.2953929539295393
2,0,219,0.5934959349593496
2,1,0,0
2,2,0,0
