delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,1,0.0051813471502590676
-2,0,74,0.38341968911917096
-2,1,35,0.18134715025906736
-2,2,83,0.43005181347150256
-1,-2,1,0.0014245014245014246
-1,-1,47,0.06695156695156695
-1,0,276,0.39316239316239315
-1,1,306,0.4358974358974359
-1,2,72,0.10256410256410256
0,-2,75,0.015739769150052464
0,-1,250,0.05246589716684155
0,0,3828,0.8033578174186778
0,1,463,0.09716684155299056
0,2,149,0.031269674711437566
1,-2,53,0.06803594351732992
1,-1,274,0.35173299101412064
1,0,362,0.46469833119383824
1,1,89,0.11424903722721438
1,2,1,0.0012836970474967907
2,-2,87,0.36401673640167365
2,-1,41,0.17154811715481172
2,0,111,0.46443514644351463
2,1,0,0
2,2,0,0
