delta_H,delta_L,count,row_percent
-6,-6,14,1
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,0,0
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,6,0.5454545454545454
-5,-5,2,0.18181818181818182
-5,-4,0,0
-5,-3,1,0.09090909090909091
-5,-2,0,0
-5,-1,0,0
-5,0,2,0.18181818181818182
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,5,0.22727272727272727
-4,-5,5,0.22727272727272727
-4,-4,4,0.18181818181818182
-4,-3,0,0
-4,-2,0,0
-4,-1,1,0.045454545454545456
-4,0,5,0.22727272727272727
-4,1,2,0.09090909090909091
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-3,-6,69,0.44516129032258067
-3,-5,14,0.09032258064516129
-3,-4,4,0.025806451612903226
-3,-3,8,0.05161290322580645
-3,-2,0,0
-3,-1,4,0.025806451612903226
-3,0,41,0.2645161290322581
-3,1,15,0.0967741935483871
-3,2,0,0
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,43,0.13870967741935483
-2,-5,39,0.12580645161290321
-2,-4,17,0.054838709677419356
-2,-3,6,0.01935483870967742
-2,-2,4,0.012903225806451613
-2,-1,21,0.06774193548387097
-2,0,131,0.42258064516129035
-2,1,47,0.15161290322580645
-2,2,0,0
-2,3,2,0.0064516129032258064
-2,4,0,0
-2,5,0,0
-2,6,0,0
-1,-6,65,0.0717439293598234
-1,-5,42,0.046357615894039736
-1,-4,73,0.08057395143487858
-1,-3,12,0.013245033112582781
-1,-2,3,0.0033112582781456954
-1,-1,72,0.07947019867549669
-1,0,360,0.3973509933774834
-1,1,233,0.2571743929359823
-1,2,19,0.02097130242825607
-1,3,16,0.017660044150110375
-1,4,11,0.012141280353200883
-1,5,0,0
-1,6,0,0
0,-6,152,0.04876483798524222
0,-5,65,0.02085338466474174
0,-4,90,0.028873917228103944
0,-3,53,0.01700352903432788
0,-2,7,0.002245749117741418
0,-1,176,0.05646454924606994
0,0,1751,0.561758100737889
0,1,608,0.19505935194096888
0,2,79,0.025344882900224575
0,3,58,0.01860763554700032
0,4,53,0.01700352903432788
0,5,25,0.008020532563362208
0,6,0,0
1,-6,0,0
1,-5,34,0.02096177558569667
1,-4,29,0.017879161528976572
1,-3,18,0.011097410604192354
1,-2,9,0.005548705302096177
1,-1,144,0.08877928483353884
1,0,811,0.5
1,1,386,0.2379778051787916
1,2,53,0.032675709001233046
1,3,60,0.036991368680641186
1,4,68,0.04192355117139334
1,5,10,0.006165228113440197
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,24,0.03409090909090909
2,-3,13,0.018465909090909092
2,-2,4,0.005681818181818182
2,-1,114,0.16193181818181818
2,0,311,0.44176136363636365
2,1,143,0.203125
2,2,15,0.02130681818181818
2,3,29,0.041193181818181816
2,4,41,0.05823863636363636
2,5,10,0.014204545454545454
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,13,0.03880597014925373
3,-2,4,0.011940298507462687
3,-1,29,0.08656716417910448
3,0,188,0.5611940298507463
3,1,52,0.15522388059701492
3,2,7,0.020895522388059702
3,3,8,0.023880597014925373
3,4,19,0.056716417910447764
3,5,15,0.04477611940298507
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,2,0.027777777777777776
4,-1,14,0.19444444444444445
4,0,34,0.4722222222222222
4,1,13,0.18055555555555555
4,2,1,0.013888888888888888
4,3,5,0.06944444444444445
4,4,2,0.027777777777777776
4,5,1,0.013888888888888888
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,6,0.21428571428571427
5,0,12,0.42857142857142855
5,1,3,0.10714285714285714
5,2,1,0.03571428571428571
5,3,0,0
5,4,4,0.14285714285714285
5,5,2,0.07142857142857142
5,6,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,20,0.9090909090909091
6,1,0,0
6,2,1,0.045454545454545456
6,3,0,0
6,4,1,0.045454545454545456
6,5,0,0
6,6,0,0
