delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,7,0.25925925925925924
-6,1,3,0.1111111111111111
-6,2,2,0.07407407407407407
-6,3,3,0.1111111111111111
-6,4,2,0.07407407407407407
-6,5,0,0
-6,6,10,0.37037037037037035
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,0,0
-5,0,1,0.041666666666666664
-5,1,4,0.16666666666666666
-5,2,3,0.125
-5,3,5,0.20833333333333334
-5,4,4,0.16666666666666666
-5,5,5,0.20833333333333334
-5,6,2,0.08333333333333333
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,0,0
-4,0,4,0.10810810810810811
-4,1,6,0.16216216216216217
-4,2,6,0.16216216216216217
-4,3,9,0.24324324324324326
-4,4,9,0.24324324324324326
-4,5,2,0.05405405405405406
-4,6,1,0.02702702702702703
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,2,0.012195121951219513
-3,-2,4,0.024390243902439025
-3,-1,8,0.04878048780487805
-3,0,27,0.16463414634146342
-3,1,19,0.11585365853658537
-3,2,25,0.1524390243902439
-3,3,58,0.35365853658536583
-3,4,10,0.06097560975609756
-3,5,5,0.03048780487804878
-3,6,6,0.036585365853658534
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,2,0.005780346820809248
-2,-2,1,0.002890173410404624
-2,-1,16,0.046242774566473986
-2,0,59,0.17052023121387283
-2,1,104,0.30057803468208094
-2,2,100,0.28901734104046245
-2,3,45,0.13005780346820808
-2,4,14,0.04046242774566474
-2,5,3,0.008670520231213872
-2,6,2,0.005780346820809248
-1,-6,0,0
-1,-5,0,0
-1,-4,1,9.416195856873823e-4
-1,-3,4,0.003766478342749529
-1,-2,15,0.014124293785310734
-1,-1,62,0.0583804143126177
-1,0,304,0.2862523540489642
-1,1,433,0.4077212806026365
-1,2,153,0.1440677966101695
-1,3,67,0.06308851224105462
-1,4,18,0.01694915254237288
-1,5,5,0.004708097928436911
-1,6,0,0
0,-6,9,0.002469813391877058
0,-5,3,8.23271130625686e-4
0,-4,2,5.488474204171241e-4
0,-3,28,0.007683863885839737
0,-2,45,0.01234906695938529
0,-1,275,0.07546652030735455
0,0,2208,0.605927552140505
0,1,683,0.18743139407244785
0,2,239,0.06558726673984633
0,3,104,0.02854006586169045
0,4,27,0.007409440175631174
0,5,7,0.0019209659714599342
0,6,14,0.0038419319429198683
1,-6,0,0
1,-5,2,0.0013708019191226869
1,-4,1,6.854009595613434e-4
1,-3,21,0.01439342015078821
1,-2,63,0.04318026045236463
1,-1,364,0.249485949280329
1,0,659,0.4516792323509253
1,1,244,0.16723783413296778
1,2,74,0.05071967100753941
1,3,18,0.01233721727210418
1,4,11,0.0075394105551747775
1,5,2,0.0013708019191226869
1,6,0,0
2,-6,0,0
2,-5,2,0.0032733224222585926
2,-4,8,0.01309328968903437
2,-3,19,0.031096563011456628
2,-2,86,0.1407528641571195
2,-1,157,0.2569558101472995
2,0,229,0.37479541734860883
2,1,80,0.1309328968903437
2,2,23,0.03764320785597381
2,3,3,0.004909983633387889
2,4,3,0.004909983633387889
2,5,0,0
2,6,1,0.0016366612111292963
3,-6,2,0.00684931506849315
3,-5,2,0.00684931506849315
3,-4,5,0.017123287671232876
3,-3,44,0.1506849315068493
3,-2,29,0.09931506849315068
3,-1,57,0.1952054794520548
3,0,120,0.410958904109589
3,1,24,0.0821917808219178
3,2,7,0.023972602739726026
3,3,1,0.003424657534246575
3,4,0,0
3,5,0,0
3,6,1,0.003424657534246575
4,-6,0,0
4,-5,0,0
4,-4,5,0.07575757575757576
4,-3,9,0.13636363636363635
4,-2,14,0.21212121212121213
4,-1,18,0.2727272727272727
4,0,15,0.22727272727272727
4,1,4,0.06060606060606061
4,2,0,0
4,3,1,0.015151515151515152
4,4,0,0
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,2,0.07407407407407407
5,-4,2,0.07407407407407407
5,-3,2,0.07407407407407407
5,-2,4,0.14814814814814814
5,-1,3,0.1111111111111111
5,0,10,0.37037037037037035
5,1,4,0.14814814814814814
5,2,0,0
5,3,0,0
5,4,0,0
5,5,0,0
5,6,0,0
6,-6,7,0.20588235294117646
6,-5,0,0
6,-4,0,0
6,-3,1,0.029411764705882353
6,-2,1,0.029411764705882353
6,-1,3,0.08823529411764706
6,0,20,0.5882352941176471
6,1,0,0
6,2,0,0
6,3,1,0.029411764705882353
6,4,0,0
6,5,0,0
6,6,1,0.029411764705882353
