delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,1,0.045454545454545456
-6,-1,1,0.045454545454545456
-6,0,8,0.36363636363636365
-6,1,2,0.09090909090909091
-6,2,5,0.22727272727272727
-6,3,5,0.22727272727272727
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,1,0.041666666666666664
-5,0,9,0.375
-5,1,6,0.25
-5,2,5,0.20833333333333334
-5,3,3,0.125
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,1,0.030303030303030304
-4,-1,4,0.12121212121212122
-4,0,11,0.3333333333333333
-4,1,4,0.12121212121212122
-4,2,9,0.2727272727272727
-4,3,2,0.06060606060606061
-4,4,1,0.030303030303030304
-4,5,1,0.030303030303030304
-4,6,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,3,0.02040816326530612
-3,-2,4,0.027210884353741496
-3,-1,13,0.08843537414965986
-3,0,46,0.3129251700680272
-3,1,27,0.1836734693877551
-3,2,26,0.17687074829931973
-3,3,28,0.19047619047619047
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,2,0.006578947368421052
-2,-2,3,0.009868421052631578
-2,-1,26,0.08552631578947369
-2,0,108,0.35526315789473684
-2,1,90,0.29605263157894735
-2,2,62,0.20394736842105263
-2,3,12,0.039473684210526314
-2,4,1,0.003289473684210526
-2,5,0,0
-2,6,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,2,0.001932367149758454
-1,-3,10,0.00966183574879227
-1,-2,43,0.04154589371980676
-1,-1,86,0.08309178743961353
-1,0,545,0.5265700483091788
-1,1,248,0.2396135265700483
-1,2,84,0.08115942028985507
-1,3,16,0.015458937198067632
-1,4,1,9.66183574879227e-4
-1,5,0,0
-1,6,0,0
0,-6,2,5.899705014749262e-4
0,-5,0,0
0,-4,5,0.0014749262536873156
0,-3,78,0.023008849557522124
0,-2,109,0.03215339233038348
0,-1,270,0.07964601769911504
0,0,2348,0.6926253687315634
0,1,353,0.10412979351032449
0,2,146,0.043067846607669616
0,3,74,0.02182890855457227
0,4,3,8.849557522123894e-4
0,5,1,2.949852507374631e-4
0,6,1,2.949852507374631e-4
1,-6,0,0
1,-5,0,0
1,-4,2,0.0017241379310344827
1,-3,25,0.021551724137931036
1,-2,68,0.05862068965517241
1,-1,222,0.19137931034482758
1,0,739,0.6370689655172413
1,1,73,0.06293103448275862
1,2,23,0.019827586206896553
1,3,8,0.006896551724137931
1,4,0,0
1,5,0,0
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,1,0.003115264797507788
2,-3,10,0.03115264797507788
2,-2,42,0.1308411214953271
2,-1,75,0.2336448598130841
2,0,173,0.5389408099688473
2,1,18,0.056074766355140186
2,2,2,0.006230529595015576
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,25,0.16556291390728478
3,-2,20,0.13245033112582782
3,-1,24,0.15894039735099338
3,0,74,0.4900662251655629
3,1,4,0.026490066225165563
3,2,2,0.013245033112582781
3,3,2,0.013245033112582781
3,4,0,0
3,5,0,0
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,1,0.02857142857142857
4,-3,4,0.11428571428571428
4,-2,6,0.17142857142857143
4,-1,5,0.14285714285714285
4,0,15,0.42857142857142855
4,1,1,0.02857142857142857
4,2,1,0.02857142857142857
4,3,2,0.05714285714285714
4,4,0,0
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,3,0.1111111111111111
5,-2,5,0.18518518518518517
5,-1,2,0.07407407407407407
5,0,14,0.5185185185185185
5,1,2,0.07407407407407407
5,2,0,0
5,3,0,0
5,4,1,0.037037037037037035
5,5,0,0
5,6,0,0
6,-6,2,0.06896551724137931
6,-5,1,0.034482758620689655
6,-4,0,0
6,-3,9,0.3103448275862069
6,-2,5,0.1724137931034483
6,-1,4,0.13793103448275862
6,0,6,0.20689655172413793
6,1,2,0.06896551724137931
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,0
