delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,2,0.09090909090909091
-6,-4,0,0
-6,-3,2,0.09090909090909091
-6,-2,1,0.045454545454545456
-6,-1,0,0
-6,0,15,0.6818181818181818
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,2,0.09090909090909091
-5,-6,0,0
-5,-5,2,0.08333333333333333
-5,-4,0,0
-5,-3,1,0.041666666666666664
-5,-2,3,0.125
-5,-1,1,0.041666666666666664
-5,0,10,0.4166666666666667
-5,1,2,0.08333333333333333
-5,2,2,0.08333333333333333
-5,3,1,0.041666666666666664
-5,4,0,0
-5,5,2,0.08333333333333333
-5,6,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,2,0.06060606060606061
-4,-3,1,0.030303030303030304
-4,-2,1,0.030303030303030304
-4,-1,3,0.09090909090909091
-4,0,14,0.42424242424242425
-4,1,3,0.09090909090909091
-4,2,1,0.030303030303030304
-4,3,3,0.09090909090909091
-4,4,3,0.09090909090909091
-4,5,2,0.06060606060606061
-4,6,0,0
-3,-6,0,0
-3,-5,7,0.047619047619047616
-3,-4,4,0.027210884353741496
-3,-3,22,0.14965986394557823
-3,-2,6,0.04081632653061224
-3,-1,5,0.034013605442176874
-3,0,37,0.25170068027210885
-3,1,10,0.06802721088435375
-3,2,15,0.10204081632653061
-3,3,32,0.21768707482993196
-3,4,3,0.02040816326530612
-3,5,2,0.013605442176870748
-3,6,4,0.027210884353741496
-2,-6,1,0.003289473684210526
-2,-5,12,0.039473684210526314
-2,-4,4,0.013157894736842105
-2,-3,13,0.04276315789473684
-2,-2,5,0.01644736842105263
-2,-1,12,0.039473684210526314
-2,0,78,0.2565789473684211
-2,1,66,0.21710526315789475
-2,2,69,0.22697368421052633
-2,3,28,0.09210526315789473
-2,4,6,0.019736842105263157
-2,5,8,0.02631578947368421
-2,6,2,0.006578947368421052
-1,-6,1,9.66183574879227e-4
-1,-5,36,0.034782608695652174
-1,-4,14,0.01352657004830918
-1,-3,23,0.022222222222222223
-1,-2,33,0.03188405797101449
-1,-1,87,0.08405797101449275
-1,0,350,0.33816425120772947
-1,1,279,0.26956521739130435
-1,2,125,0.12077294685990338
-1,3,37,0.035748792270531404
-1,4,20,0.01932367149758454
-1,5,22,0.021256038647342997
-1,6,8,0.007729468599033816
0,-6,6,0.0017699115044247787
0,-5,79,0.023303834808259587
0,-4,40,0.011799410029498525
0,-3,61,0.01799410029498525
0,-2,137,0.04041297935103245
0,-1,343,0.10117994100294986
0,0,1942,0.5728613569321533
0,1,412,0.1215339233038348
0,2,147,0.04336283185840708
0,3,82,0.024188790560471976
0,4,37,0.010914454277286136
0,5,55,0.016224188790560472
0,6,49,0.014454277286135693
1,-6,0,0
1,-5,3,0.002586206896551724
1,-4,11,0.009482758620689655
1,-3,25,0.021551724137931036
1,-2,85,0.07327586206896551
1,-1,265,0.22844827586206898
1,0,447,0.3853448275862069
1,1,136,0.11724137931034483
1,2,55,0.047413793103448273
1,3,35,0.03017241379310345
1,4,27,0.02327586206896552
1,5,71,0.061206896551724135
1,6,0,0
2,-6,0,0
2,-5,2,0.006230529595015576
2,-4,2,0.006230529595015576
2,-3,18,0.056074766355140186
2,-2,51,0.1588785046728972
2,-1,72,0.22429906542056074
2,0,89,0.2772585669781931
2,1,30,0.09345794392523364
2,2,22,0.06853582554517133
2,3,12,0.037383177570093455
2,4,21,0.06542056074766354
2,5,2,0.006230529595015576
2,6,0,0
3,-6,0,0
3,-5,2,0.013245033112582781
3,-4,3,0.019867549668874173
3,-3,19,0.12582781456953643
3,-2,16,0.10596026490066225
3,-1,22,0.1456953642384106
3,0,46,0.304635761589404
3,1,6,0.039735099337748346
3,2,7,0.046357615894039736
3,3,30,0.1986754966887417
3,4,0,0
3,5,0,0
3,6,0,0
4,-6,0,0
4,-5,1,0.02857142857142857
4,-4,0,0
4,-3,6,0.17142857142857143
4,-2,3,0.08571428571428572
4,-1,8,0.22857142857142856
4,0,8,0.22857142857142856
4,1,3,0.08571428571428572
4,2,5,0.14285714285714285
4,3,1,0.02857142857142857
4,4,0,0
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,1,0.037037037037037035
5,-4,2,0.07407407407407407
5,-3,0,0
5,-2,6,0.2222222222222222
5,-1,6,0.2222222222222222
5,0,5,0.18518518518518517
5,1,5,0.18518518518518517
5,2,1,0.037037037037037035
5,3,1,0.037037037037037035
5,4,0,0
5,5,0,0
5,6,0,0
6,-6,0,0
6,-5,1,0.034482758620689655
6,-4,1,0.034482758620689655
6,-3,1,0.034482758620689655
6,-2,1,0.034482758620689655
6,-1,1,0.034482758620689655
6,0,23,0.7931034482758621
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,1,0.034482758620689655
6,6,0,0
