delta_H,delta_L,count,row_percent
-2,-2,1,0.03333333333333333
-2,-1,0,0
-2,0,29,0.9666666666666667
-2,1,0,0
-2,2,0,0
-1,-2,0,0
-1,-1,0,0
-1,0,768,0.9884169884169884
-1,1,9,0.011583011583011582
-1,2,0,0
0,-2,0,0
0,-1,3,5.723006486074017e-4
0,0,4779,0.911674933231591
0,1,365,0.06962991224723387
0,2,95,0.01812285387256772
1,-2,0,0
1,-1,0,0
1,0,459,0.7239747634069401
1,1,112,0.17665615141955837
1,2,63,0.09936908517350158
2,-2,0,0
2,-1,0,0
2,0,8,0.38095238095238093
2,1,4,0.19047619047619047
2,2,9,0.42857142857142855
