delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,0,0
-2,0,19,1
-2,1,0,0
-2,2,0,0
-1,-2,0,0
-1,-1,15,0.024115755627009645
-1,0,600,0.9646302250803859
-1,1,7,0.011254019292604502
-1,2,0,0
0,-2,0,0
0,-1,84,0.014731673097158891
0,0,5325,0.9338828481234654
0,1,211,0.03700455980357769
0,2,82,0.014380918975797966
1,-2,0,0
1,-1,4,0.010101010101010102
1,0,346,0.8737373737373737
1,1,23,0.05808080808080808
1,2,23,0.05808080808080808
2,-2,0,0
2,-1,0,0
2,0,2,0.6666666666666666
2,1,0,0
2,2,1,0.3333333333333333
