model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Llama-3_3-70B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,3830,895,0.23368146214099217,0.006837815990333509,0.2202793427999385,0.24708358148204584
Llama-3_3-70B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1263,0.22880434782608697,0.0056538578313544245,0.2177227864766323,0.23988590917554165
Llama-3_3-70B-Instruct,baseline,maennlich,low_income,before_university_track,correct_prediction,6758,1410,0.20864160994377035,0.004942856183248196,0.1989536118246039,0.2183296080629368
Llama-3_3-70B-Instruct,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1031,0.2207236137871976,0.006068274577548043,0.20882979561520343,0.23261743195919177
Llama-3_3-70B-Instruct,baseline,maennlich,middle_income,before_university_track,correct_prediction,8818,1913,0.21694261737355408,0.004389188015800109,0.20833980886258588,0.22554542588452228
Llama-3_3-70B-Instruct,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1223,0.22032066294361377,0.005562884123697031,0.2094174100611676,0.23122391582605994
Llama-3_3-70B-Instruct,baseline,weiblich,high_income,before_university_track,correct_prediction,3019,709,0.23484597548857236,0.007714973488456696,0.21972462745119725,0.24996732352594747
Llama-3_3-70B-Instruct,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1031,0.2532547285679194,0.006815762847603345,0.23989583338661685,0.266613623749222
Llama-3_3-70B-Instruct,baseline,weiblich,low_income,before_university_track,correct_prediction,7294,1463,0.20057581573896352,0.004688620102964437,0.19138612033715321,0.20976551114077382
Llama-3_3-70B-Instruct,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,4493,958,0.21322056532383707,0.006110444948503273,0.20124409322477066,0.22519703742290348
Llama-3_3-70B-Instruct,baseline,weiblich,middle_income,before_university_track,correct_prediction,8178,1863,0.22780630961115186,0.0046379113754150625,0.21871600331533833,0.2368966159069654
Llama-3_3-70B-Instruct,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,1253,0.2268283852280956,0.005634557515279799,0.21578465249814718,0.237872117958044
Llama-3_3-70B-Instruct,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,3830,888,0.2318537859007833,0.0068191407746508465,0.21848826998246762,0.24521930181909896
Llama-3_3-70B-Instruct,baseline_notime,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1290,0.23369565217391305,0.005695822177436609,0.2225318407061373,0.2448594636416888
Llama-3_3-70B-Instruct,baseline_notime,maennlich,low_income,before_university_track,correct_prediction,6758,1395,0.20642201834862386,0.00492338412671355,0.19677218546026531,0.21607185123698242
Llama-3_3-70B-Instruct,baseline_notime,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1031,0.2207236137871976,0.006068274577548043,0.20882979561520343,0.23261743195919177
Llama-3_3-70B-Instruct,baseline_notime,maennlich,middle_income,before_university_track,correct_prediction,8818,1930,0.21887049217509638,0.0044032169294194855,0.2102401869934342,0.22750079735675857
Llama-3_3-70B-Instruct,baseline_notime,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1223,0.22032066294361377,0.005562884123697031,0.2094174100611676,0.23122391582605994
Llama-3_3-70B-Instruct,baseline_notime,weiblich,high_income,before_university_track,correct_prediction,3019,716,0.23716462404769792,0.007741209316295842,0.22199185378775807,0.2523373943076378
Llama-3_3-70B-Instruct,baseline_notime,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1008,0.24760501105379515,0.006764755600774362,0.2343460900762774,0.2608639320313129
Llama-3_3-70B-Instruct,baseline_notime,weiblich,low_income,before_university_track,correct_prediction,7294,1458,0.199890320811626,0.004682607594310443,0.19071240992677754,0.20906823169647445
Llama-3_3-70B-Instruct,baseline_notime,weiblich,low_income,university_track_or_higher,correct_prediction,4493,991,0.2205653238370799,0.006185720180774928,0.20844131228276105,0.23268933539139877
Llama-3_3-70B-Instruct,baseline_notime,weiblich,middle_income,before_university_track,correct_prediction,8178,1829,0.2236488138909269,0.004607749460553775,0.2146176249482415,0.2326800028336123
Llama-3_3-70B-Instruct,baseline_notime,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,1276,0.23099203475742217,0.0056707054081037815,0.21987745215753876,0.24210661735730557
Llama-3_3-70B-Instruct,tanchored,maennlich,high_income,before_university_track,correct_prediction,3830,904,0.2360313315926893,0.006861565527491549,0.22258266315880587,0.24948000002657272
Llama-3_3-70B-Instruct,tanchored,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1305,0.23641304347826086,0.005718675171389856,0.22520444014233676,0.24762164681418497
Llama-3_3-70B-Instruct,tanchored,maennlich,low_income,before_university_track,correct_prediction,6758,1427,0.21115714708493638,0.004964654684955778,0.20142642390242305,0.22088787026744972
Llama-3_3-70B-Instruct,tanchored,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1062,0.22736030828516376,0.006132547185481211,0.21534051580162059,0.23938010076870694
Llama-3_3-70B-Instruct,tanchored,maennlich,middle_income,before_university_track,correct_prediction,8818,1917,0.217396234973917,0.0043925016004486075,0.20878693183703773,0.22600553811079627
Llama-3_3-70B-Instruct,tanchored,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1231,0.22176184471266439,0.00557588822016349,0.21083310380114395,0.23269058562418482
Llama-3_3-70B-Instruct,tanchored,weiblich,high_income,before_university_track,correct_prediction,3019,706,0.23385226896323286,0.007703631447825673,0.21875315132549453,0.2489513866009712
Llama-3_3-70B-Instruct,tanchored,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1016,0.24957013018914273,0.006782671874449791,0.23627609331522115,0.2628641670630643
Llama-3_3-70B-Instruct,tanchored,weiblich,low_income,before_university_track,correct_prediction,7294,1458,0.199890320811626,0.004682607594310443,0.19071240992677754,0.20906823169647445
Llama-3_3-70B-Instruct,tanchored,weiblich,low_income,university_track_or_higher,correct_prediction,4493,984,0.21900734475851324,0.006169992064011261,0.20691416031305118,0.2311005292039753
Llama-3_3-70B-Instruct,tanchored,weiblich,middle_income,before_university_track,correct_prediction,8178,1798,0.2198581560283688,0.004579673572840142,0.21088199582560213,0.22883431623113548
Llama-3_3-70B-Instruct,tanchored,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,1255,0.2271904417089066,0.005637732109230509,0.2161404867748148,0.2382403966429984
Llama-3_3-70B-Instruct,trajectory,maennlich,high_income,before_university_track,correct_prediction,2588,1037,0.40069551777434315,0.009632718503563396,0.3818153895073589,0.4195756460413274
Llama-3_3-70B-Instruct,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,3883,1767,0.4550605202163276,0.007991439586142665,0.43939729862748794,0.47072374180516724
Llama-3_3-70B-Instruct,trajectory,maennlich,low_income,before_university_track,correct_prediction,4446,1711,0.3848403058929375,0.007297086300571993,0.37053801674381637,0.3991425950420586
Llama-3_3-70B-Instruct,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3245,1376,0.4240369799691834,0.00867544610093157,0.4070331056113575,0.44104085432700924
Llama-3_3-70B-Instruct,trajectory,maennlich,middle_income,before_university_track,correct_prediction,5933,2198,0.3704702511377044,0.006269712472008341,0.35818161469256804,0.3827588875828407
Llama-3_3-70B-Instruct,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,3926,1686,0.42944472745797246,0.007900004731785376,0.41396071818367314,0.4449287367322718
Llama-3_3-70B-Instruct,trajectory,weiblich,high_income,before_university_track,correct_prediction,1939,705,0.3635894791129448,0.010924093904697068,0.34217825505973853,0.3850007031661511
Llama-3_3-70B-Instruct,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,2742,1154,0.4208606856309263,0.009428160731445435,0.4023814905972933,0.43933988066455937
Llama-3_3-70B-Instruct,trajectory,weiblich,low_income,before_university_track,correct_prediction,4614,1591,0.3448201127004768,0.0069974173602420815,0.3311051746744023,0.3585350507265513
Llama-3_3-70B-Instruct,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,2953,1209,0.409414155096512,0.009048804811004623,0.39167849766694296,0.4271498125260811
Llama-3_3-70B-Instruct,trajectory,weiblich,middle_income,before_university_track,correct_prediction,5178,1823,0.35206643491695633,0.006637377632105496,0.33905717475802954,0.3650756950758831
Llama-3_3-70B-Instruct,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,3733,1487,0.3983391374229842,0.008012598388036555,0.38263444458243256,0.41404383026353586
Mistral-7B-Instruct-v0_3,baseline,maennlich,high_income,before_university_track,correct_prediction,3830,499,0.13028720626631854,0.005439255107330456,0.11962626625595085,0.14094814627668623
Mistral-7B-Instruct-v0_3,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,5520,748,0.1355072463768116,0.004606726189791922,0.12647806304481943,0.1445364297088038
Mistral-7B-Instruct-v0_3,baseline,maennlich,low_income,before_university_track,correct_prediction,6758,762,0.11275525303344185,0.0038475211566698308,0.10521411156636898,0.12029639450051471
Mistral-7B-Instruct-v0_3,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,4671,526,0.11260971954613573,0.004625304600588887,0.10354412252898151,0.12167531656328995
Mistral-7B-Instruct-v0_3,baseline,maennlich,middle_income,before_university_track,correct_prediction,8818,1026,0.11635291449308233,0.0034146249600552903,0.10966024957137396,0.12304557941479069
Mistral-7B-Instruct-v0_3,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,670,0.12069897315798955,0.004372551810813078,0.11212877160879592,0.1292691747071832
Mistral-7B-Instruct-v0_3,baseline,weiblich,high_income,before_university_track,correct_prediction,3019,362,0.11990725405763498,0.005912285435700872,0.10831917460366128,0.1314953335116087
Mistral-7B-Instruct-v0_3,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4071,501,0.12306558585114223,0.005148744219958778,0.11297404718002303,0.13315712452226144
Mistral-7B-Instruct-v0_3,baseline,weiblich,low_income,before_university_track,correct_prediction,7294,723,0.09912256649300795,0.003498937974028569,0.09226464806391195,0.10598048492210395
Mistral-7B-Instruct-v0_3,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,4493,441,0.09815268194969953,0.004438634507488841,0.0894529583150214,0.10685240558437767
Mistral-7B-Instruct-v0_3,baseline,weiblich,middle_income,before_university_track,correct_prediction,8178,875,0.10699437515284911,0.0034180941223883893,0.10029491067296786,0.11369383963273036
Mistral-7B-Instruct-v0_3,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,532,0.09630702389572773,0.003969287894246787,0.08852721962300403,0.10408682816845144
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,3830,538,0.14046997389033944,0.00561465260232552,0.1294652547897814,0.15147469299089747
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,high_income,university_track_or_higher,correct_prediction,5520,759,0.1375,0.004635124054434789,0.12841515685330782,0.1465848431466922
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,low_income,before_university_track,correct_prediction,6758,860,0.12725658478839894,0.004053912107607267,0.1193109170574887,0.13520225251930917
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,low_income,university_track_or_higher,correct_prediction,4671,546,0.11689145793192036,0.004701035132790701,0.1076774290716506,0.12610548679219014
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,middle_income,before_university_track,correct_prediction,8818,1207,0.13687911090950328,0.0036603225238004337,0.12970487876285441,0.14405334305615214
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,725,0.13060709782021257,0.004522783728748666,0.12174244171186518,0.13947175392855996
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,high_income,before_university_track,correct_prediction,3019,457,0.151374627360053,0.006523084331737501,0.1385893820698475,0.1641598726502585
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,high_income,university_track_or_higher,correct_prediction,4071,611,0.15008597396217147,0.0055976662501700004,0.13911454811183827,0.16105739981250466
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,low_income,before_university_track,correct_prediction,7294,986,0.13517959967096244,0.004003461545531996,0.12733281504171973,0.14302638430020514
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,low_income,university_track_or_higher,correct_prediction,4493,507,0.11284219897618518,0.0047202825852366,0.10359044510912144,0.12209395284324892
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,middle_income,before_university_track,correct_prediction,8178,1178,0.14404499877720714,0.003882853508706709,0.136434605900142,0.15165539165427228
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,671,0.12146994931209269,0.00439527346206557,0.11285521332644417,0.1300846852977412
Mistral-7B-Instruct-v0_3,tanchored,maennlich,high_income,before_university_track,correct_prediction,3830,531,0.13864229765013056,0.005583933754582642,0.12769778749114857,0.14958680780911254
Mistral-7B-Instruct-v0_3,tanchored,maennlich,high_income,university_track_or_higher,correct_prediction,5520,821,0.14873188405797103,0.004789229891849147,0.1393449934699467,0.15811877464599536
Mistral-7B-Instruct-v0_3,tanchored,maennlich,low_income,before_university_track,correct_prediction,6758,777,0.11497484462858834,0.0038803431163601603,0.10736937212052243,0.12258031713665425
Mistral-7B-Instruct-v0_3,tanchored,maennlich,low_income,university_track_or_higher,correct_prediction,4671,506,0.1083279811603511,0.0045474502904716135,0.09941497859102674,0.11724098372967545
Mistral-7B-Instruct-v0_3,tanchored,maennlich,middle_income,before_university_track,correct_prediction,8818,1047,0.11873440689498753,0.0034447416301403157,0.11198271329991251,0.12548610049006254
Mistral-7B-Instruct-v0_3,tanchored,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,717,0.12916591605116196,0.00450148761779511,0.12034300032028354,0.13798883178204038
Mistral-7B-Instruct-v0_3,tanchored,weiblich,high_income,before_university_track,correct_prediction,3019,358,0.11858231202384896,0.005883954166006671,0.10704976185847588,0.13011486218922202
Mistral-7B-Instruct-v0_3,tanchored,weiblich,high_income,university_track_or_higher,correct_prediction,4071,509,0.1250307049864898,0.005183871113768539,0.11487031760350347,0.13519109236947613
Mistral-7B-Instruct-v0_3,tanchored,weiblich,low_income,before_university_track,correct_prediction,7294,774,0.10611461475185084,0.0036061653800125004,0.09904653060702634,0.11318269889667534
Mistral-7B-Instruct-v0_3,tanchored,weiblich,low_income,university_track_or_higher,correct_prediction,4493,441,0.09815268194969953,0.004438634507488841,0.0894529583150214,0.10685240558437767
Mistral-7B-Instruct-v0_3,tanchored,weiblich,middle_income,before_university_track,correct_prediction,8178,987,0.1206896551724138,0.0036023222569330215,0.11362910354882508,0.12775020679600252
Mistral-7B-Instruct-v0_3,tanchored,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,599,0.10843591600289645,0.0041834638810538385,0.10023632679603094,0.11663550520976197
Mistral-7B-Instruct-v0_3,trajectory,maennlich,high_income,before_university_track,correct_prediction,2588,1134,0.4381761978361669,0.00975309203707314,0.41906013744350357,0.45729225822883024
Mistral-7B-Instruct-v0_3,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,3883,1775,0.4571207828998197,0.0079943543809226,0.44145184831321144,0.472789717486428
Mistral-7B-Instruct-v0_3,trajectory,maennlich,low_income,before_university_track,correct_prediction,4446,2061,0.46356275303643724,0.00747874972762595,0.4489044035702904,0.4782211025025841
Mistral-7B-Instruct-v0_3,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3245,1396,0.43020030816640986,0.008691387498387682,0.41316518866957,0.4472354276632497
Mistral-7B-Instruct-v0_3,trajectory,maennlich,middle_income,before_university_track,correct_prediction,5933,2718,0.458115624473285,0.00646850163594697,0.445437361266829,0.47079388767974106
Mistral-7B-Instruct-v0_3,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,3926,1753,0.4465104431991849,0.007934058134409953,0.4309596892557414,0.46206119714262844
Mistral-7B-Instruct-v0_3,trajectory,weiblich,high_income,before_university_track,correct_prediction,1939,884,0.4559051057246003,0.011310600127507562,0.4337363294746855,0.4780738819745151
Mistral-7B-Instruct-v0_3,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,2742,1151,0.4197665937272064,0.00942478769478944,0.40129400984541913,0.4382391776089937
Mistral-7B-Instruct-v0_3,trajectory,weiblich,low_income,before_university_track,correct_prediction,4614,2095,0.4540528825314261,0.007329759281896221,0.4396865543389095,0.4684192107239427
Mistral-7B-Instruct-v0_3,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,2953,1231,0.4168642058923129,0.009072989944987838,0.39908114560013674,0.434647266184489
Mistral-7B-Instruct-v0_3,trajectory,weiblich,middle_income,before_university_track,correct_prediction,5178,2369,0.4575125531093086,0.006923334752108057,0.4439428169951768,0.4710822892234404
Mistral-7B-Instruct-v0_3,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,3733,1585,0.42459148138226627,0.008089930430424459,0.4087352177386343,0.44044774502589823
Qwen2_5-32B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,3830,925,0.24151436031331594,0.00691585332217429,0.22795928780185434,0.25506943282477756
Qwen2_5-32B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1424,0.2579710144927536,0.005888793861863745,0.24642897852350068,0.2695130504620066
