delta_H,delta_L,count,row_percent
-10,-10,0,0
-10,-8,0,0
-10,-7,0,0
-10,-6,0,0
-10,-5,0,0
-10,-4,0,0
-10,-3,0,0
-10,-2,0,0
-10,-1,0,0
-10,0,2,1
-10,1,0,0
-10,2,0,0
-10,3,0,0
-10,4,0,0
-10,5,0,0
-10,6,0,0
-10,7,0,0
-10,8,0,0
-10,9,0,0
-10,10,0,0
-9,-10,0,0
-9,-8,0,0
-9,-7,0,0
-9,-6,0,0
-9,-5,0,0
-9,-4,0,0
-9,-3,0,0
-9,-2,0,0
-9,-1,0,0
-9,0,1,1
-9,1,0,0
-9,2,0,0
-9,3,0,0
-9,4,0,0
-9,5,0,0
-9,6,0,0
-9,7,0,0
-9,8,0,0
-9,9,0,0
-9,10,0,0
-8,-10,0,0
-8,-8,0,0
-8,-7,0,0
-8,-6,0,0
-8,-5,0,0
-8,-4,0,0
-8,-3,0,0
-8,-2,0,0
-8,-1,0,0
-8,0,1,1
-8,1,0,0
-8,2,0,0
-8,3,0,0
-8,4,0,0
-8,5,0,0
-8,6,0,0
-8,7,0,0
-8,8,0,0
-8,9,0,0
-8,10,0,0
-7,-10,0,0
-7,-8,0,0
-7,-7,0,0
-7,-6,0,0
-7,-5,0,0
-7,-4,0,0
-7,-3,0,0
-7,-2,0,0
-7,-1,0,0
-7,0,2,1
-7,1,0,0
-7,2,0,0
-7,3,0,0
-7,4,0,0
-7,5,0,0
-7,6,0,0
-7,7,0,0
-7,8,0,0
-7,9,0,0
-7,10,0,0
-6,-10,0,0
-6,-8,0,0
-6,-7,0,0
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,3,1
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-6,7,0,0
-6,8,0,0
-6,9,0,0
-6,10,0,0
-5,-10,0,0
-5,-8,0,0
-5,-7,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,1,0.07692307692307693
-5,0,12,0.9230769230769231
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-5,7,0,0
-5,8,0,0
-5,9,0,0
-5,10,0,0
-4,-10,0,0
-4,-8,0,0
-4,-7,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,2,0.07692307692307693
-4,0,24,0.9230769230769231
-4,1,0,0
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-4,7,0,0
-4,8,0,0
-4,9,0,0
-4,10,0,0
-3,-10,0,0
-3,-8,0,0
-3,-7,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,0,0
-3,-2,0,0
-3,-1,1,0.020833333333333332
-3,0,46,0.9583333333333334
-3,1,0,0
-3,2,0,0
-3,3,1,0.020833333333333332
-3,4,0,0
-3,5,0,0
-3,6,0,0
-3,7,0,0
-3,8,0,0
-3,9,0,0
-3,10,0,0
-2,-10,0,0
-2,-8,0,0
-2,-7,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,0,0
-2,-2,0,0
-2,-1,2,0.009569377990430622
-2,0,204,0.9760765550239234
-2,1,0,0
-2,2,1,0.004784688995215311
-2,3,2,0.009569377990430622
-2,4,0,0
-2,5,0,0
-2,6,0,0
-2,7,0,0
-2,8,0,0
-2,9,0,0
-2,10,0,0
-1,-10,0,0
-1,-8,0,0
-1,-7,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,0,0
-1,-3,0,0
-1,-2,0,0
-1,-1,10,0.007776049766718507
-1,0,1220,0.9486780715396579
-1,1,0,0
-1,2,8,0.006220839813374806
-1,3,43,0.03343701399688958
-1,4,5,0.0038880248833592537
-1,5,0,0
-1,6,0,0
-1,7,0,0
-1,8,0,0
-1,9,0,0
-1,10,0,0
0,-10,0,0
0,-8,0,0
0,-7,0,0
0,-6,0,0
0,-5,0,0
0,-4,0,0
0,-3,0,0
0,-2,0,0
0,-1,11,0.0022587268993839835
0,0,4725,0.9702258726899384
0,1,0,0
0,2,17,0.003490759753593429
0,3,104,0.02135523613963039
0,4,13,0.0026694045174537988
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
1,-10,0,0
1,-8,0,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,0,0
1,-1,4,0.002408187838651415
1,0,1605,0.9662853702588802
1,1,0,0
1,2,10,0.006020469596628537
1,3,40,0.024081878386514148
1,4,1,6.020469596628537e-4
1,5,1,6.020469596628537e-4
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
2,-10,0,0
2,-8,0,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
2,0,274,0.9383561643835616
2,1,0,0
2,2,3,0.010273972602739725
2,3,13,0.04452054794520548
2,4,2,0.00684931506849315
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
3,-10,0,0
3,-8,0,0
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
3,0,96,0.9320388349514563
3,1,0,0
3,2,0,0
3,3,3,0.02912621359223301
3,4,3,0.02912621359223301
3,5,1,0.009708737864077669
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
4,-10,0,0
4,-8,0,0
4,-7,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,0,0
4,0,22,0.9166666666666666
4,1,0,0
4,2,0,0
4,3,2,0.08333333333333333
4,4,0,0
4,5,0,0
4,6,0,0
4,7,0,0
4,8,0,0
4,9,0,0
4,10,0,0
5,-10,0,0
5,-8,0,0
5,-7,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,0,0
5,0,16,0.9411764705882353
5,1,0,0
5,2,0,0
5,3,0,0
5,4,1,0.058823529411764705
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,0
5,10,0,0
6,-10,0,0
6,-8,0,0
6,-7,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,11,1
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,0
6,7,0,0
6,8,0,0
6,9,0,0
6,10,0,0
7,-10,0,0
7,-8,0,0
7,-7,0,0
7,-6,0,0
7,-5,0,0
7,-4,0,0
7,-3,0,0
7,-2,0,0
7,-1,0,0
7,0,1,1
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
8,-10,0,0
8,-8,0,0
8,-7,0,0
8,-6,0,0
8,-5,0,0
8,-4,0,0
8,-3,0,0
8,-2,0,0
8,-1,0,0
8,0,4,1
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,8,0,0
8,9,0,0
8,10,0,0
9,-10,0,0
9,-8,0,0
9,-7,0,0
9,-6,0,0
9,-5,0,0
9,-4,0,0
9,-3,0,0
9,-2,0,0
9,-1,0,0
9,0,3,1
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,9,0,0
9,10,0,0
10,-10,0,0
10,-8,0,0
10,-7,0,0
10,-6,0,0
10,-5,0,0
10,-4,0,0
10,-3,0,0
10,-2,0,0
10,-1,0,0
10,0,1,1
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,10,0,0
