delta_H,delta_L,count,row_percent
-10,-10,0,0
-10,-9,0,0
-10,-8,0,0
-10,-7,0,0
-10,-6,0,0
-10,-5,0,0
-10,-4,0,0
-10,-3,1,1
-10,-2,0,0
-10,-1,0,0
-10,0,0,0
-10,1,0,0
-10,2,0,0
-10,3,0,0
-10,4,0,0
-10,5,0,0
-10,6,0,0
-10,7,0,0
-10,8,0,0
-10,9,0,0
-10,10,0,0
-9,-10,0,0
-9,-9,0,0
-9,-8,0,0
-9,-7,0,0
-9,-6,0,0
-9,-5,0,0
-9,-4,0,0
-9,-3,0,0
-9,-2,0,0
-9,-1,0,0
-9,0,0,0
-9,1,0,0
-9,2,1,0.3333333333333333
-9,3,0,0
-9,4,1,0.3333333333333333
-9,5,0,0
-9,6,1,0.3333333333333333
-9,7,0,0
-9,8,0,0
-9,9,0,0
-9,10,0,0
-8,-10,0,0
-8,-9,0,0
-8,-8,0,0
-8,-7,0,0
-8,-6,0,0
-8,-5,0,0
-8,-4,0,0
-8,-3,0,0
-8,-2,0,0
-8,-1,0,0
-8,0,0,0
-8,1,0,0
-8,2,0,0
-8,3,0,0
-8,4,0,0
-8,5,0,0
-8,6,0,0
-8,7,0,0
-8,8,0,0
-8,9,0,0
-8,10,0,0
-7,-10,0,0
-7,-9,0,0
-7,-8,0,0
-7,-7,0,0
-7,-6,0,0
-7,-5,0,0
-7,-4,0,0
-7,-3,0,0
-7,-2,0,0
-7,-1,0,0
-7,0,0,0
-7,1,0,0
-7,2,0,0
-7,3,0,0
-7,4,0,0
-7,5,0,0
-7,6,0,0
-7,7,0,0
-7,8,0,0
-7,9,0,0
-7,10,0,0
-6,-10,0,0
-6,-9,0,0
-6,-8,0,0
-6,-7,0,0
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,1,0.5
-6,0,1,0.5
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-6,7,0,0
-6,8,0,0
-6,9,0,0
-6,10,0,0
-5,-10,0,0
-5,-9,0,0
-5,-8,0,0
-5,-7,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,1,0.1
-5,-1,1,0.1
-5,0,4,0.4
-5,1,1,0.1
-5,2,2,0.2
-5,3,0,0
-5,4,0,0
-5,5,1,0.1
-5,6,0,0
-5,7,0,0
-5,8,0,0
-5,9,0,0
-5,10,0,0
-4,-10,0,0
-4,-9,0,0
-4,-8,0,0
-4,-7,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,2,0.15384615384615385
-4,0,4,0.3076923076923077
-4,1,3,0.23076923076923078
-4,2,4,0.3076923076923077
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-4,7,0,0
-4,8,0,0
-4,9,0,0
-4,10,0,0
-3,-10,0,0
-3,-9,0,0
-3,-8,0,0
-3,-7,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,1,0.020833333333333332
-3,-3,0,0
-3,-2,3,0.0625
-3,-1,10,0.20833333333333334
-3,0,20,0.4166666666666667
-3,1,8,0.16666666666666666
-3,2,3,0.0625
-3,3,2,0.041666666666666664
-3,4,0,0
-3,5,1,0.020833333333333332
-3,6,0,0
-3,7,0,0
-3,8,0,0
-3,9,0,0
-3,10,0,0
-2,-10,0,0
-2,-9,0,0
-2,-8,0,0
-2,-7,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,2,0.013157894736842105
-2,-3,2,0.013157894736842105
-2,-2,10,0.06578947368421052
-2,-1,28,0.18421052631578946
-2,0,72,0.47368421052631576
-2,1,25,0.16447368421052633
-2,2,11,0.07236842105263158
-2,3,0,0
-2,4,1,0.006578947368421052
-2,5,0,0
-2,6,1,0.006578947368421052
-2,7,0,0
-2,8,0,0
-2,9,0,0
-2,10,0,0
-1,-10,0,0
-1,-9,0,0
-1,-8,0,0
-1,-7,1,9.633911368015414e-4
-1,-6,0,0
-1,-5,2,0.0019267822736030828
-1,-4,7,0.00674373795761079
-1,-3,6,0.005780346820809248
-1,-2,64,0.06165703275529865
-1,-1,192,0.18497109826589594
-1,0,506,0.48747591522157996
-1,1,178,0.17148362235067438
-1,2,42,0.04046242774566474
-1,3,14,0.01348747591522158
-1,4,18,0.017341040462427744
-1,5,6,0.005780346820809248
-1,6,2,0.0019267822736030828
-1,7,0,0
-1,8,0,0
-1,9,0,0
-1,10,0,0
0,-10,0,0
0,-9,0,0
0,-8,1,2.858776443682104e-4
0,-7,1,2.858776443682104e-4
0,-6,8,0.002287021154945683
0,-5,25,0.00714694110920526
0,-4,63,0.018010291595197257
0,-3,24,0.00686106346483705
0,-2,185,0.052887364208118924
0,-1,754,0.21555174385363066
0,0,1729,0.4942824471126358
0,1,501,0.1432246998284734
0,2,104,0.029731275014293884
0,3,15,0.004288164665523156
0,4,46,0.013150371640937679
0,5,26,0.007432818753573471
0,6,11,0.0031446540880503146
0,7,3,8.576329331046312e-4
0,8,2,5.717552887364208e-4
0,9,0,0
0,10,0,0
1,-10,0,0
1,-9,0,0
1,-8,0,0
1,-7,0,0
1,-6,2,0.002098635886673662
1,-5,7,0.007345225603357817
1,-4,14,0.014690451206715634
1,-3,8,0.008394543546694649
1,-2,60,0.06295907660020986
1,-1,211,0.22140608604407136
1,0,448,0.4700944386149003
1,1,135,0.1416579223504722
1,2,37,0.03882476390346275
1,3,6,0.0062959076600209865
1,4,9,0.00944386149003148
1,5,7,0.007345225603357817
1,6,5,0.005246589716684155
1,7,2,0.002098635886673662
1,8,2,0.002098635886673662
1,9,0,0
1,10,0,0
2,-10,0,0
