variant,outcome_variable,representation,model,trajectory_n_total,trajectory_accuracy,trajectory_accuracy_parsed,best_nontrajectory_prompt,best_nontrajectory_n_total,best_nontrajectory_accuracy,best_nontrajectory_accuracy_parsed,trajectory_minus_best_non,trajectory_minus_best_non_parsed
1290,1290,grouped,Llama-3_3-70B-Instruct,59373,0.6865578630017011,0.6865578630017011,tanchored,59373,0.34695905546292083,0.34695905546292083,0.33959880753878025,0.33959880753878025
1290,1290,grouped,Mistral-7B-Instruct-v0_3,59376,0.6392144974400431,0.6392144974400431,baseline_notime,59376,0.4138877661007815,0.4138877661007815,0.22532673133926162,0.22532673133926162
1290,1290,grouped,Qwen2_5-32B-Instruct,59376,0.6862705470223659,0.6862705470223659,baseline_notime,59376,0.4213150094314201,0.4213150094314201,0.2649555375909458,0.2649555375909458
1290,1290,grouped,Qwen2_5-72B-Instruct,59376,0.6776306925357046,0.6776306925357046,tanchored,59376,0.47024050121261113,0.47024050121261113,0.2073901913230935,0.2073901913230935
1290,1290,grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,59239,0.6862539880821756,0.6862539880821756,tanchored,59239,0.4135788922837995,0.4135788922837995,0.2726750957983761,0.2726750957983761
1290_original_scale,1290,original_scale,Llama-3_3-70B-Instruct,59376,0.38113042306655887,0.38113042306655887,baseline,59376,0.224349905685799,0.22435746286253241,0.15678051738075988,0.15677296020402645
1290_original_scale,1290,original_scale,Mistral-7B-Instruct-v0_3,59376,0.3571139854486661,0.3571139854486661,tanchored,59376,0.14652384801940177,0.14653865588681153,0.21059013742926436,0.2105753295618546
1290_original_scale,1290,original_scale,Qwen2_5-32B-Instruct,59376,0.466990029641606,0.466990029641606,baseline,59376,0.2836331177580167,0.2836331177580167,0.18335691188358932,0.18335691188358932
1290_original_scale,1290,original_scale,Qwen2_5-72B-Instruct,59376,0.3695600916195096,0.3695600916195096,baseline,59376,0.25084209108057126,0.25084209108057126,0.11871800053893833,0.11871800053893833
1290_original_scale,1290,original_scale,Qwen2_5-7B-Instruct-GPTQ-Int4,59376,0.2731911883589329,0.2731911883589329,tanchored,59376,0.1341787927782269,0.1341787927782269,0.13901239558070602,0.13901239558070602
1500,1500,grouped,Llama-3_3-70B-Instruct,46254,0.6585160202360877,0.6585160202360877,baseline_notime,46254,0.35417477407359366,0.35417477407359366,0.30434124616249403,0.30434124616249403
1500,1500,grouped,Mistral-7B-Instruct-v0_3,46011,0.7938536436938993,0.7938536436938993,baseline_notime,46011,0.26802286409771575,0.26802286409771575,0.5258307795961836,0.5258307795961836
1500,1500,grouped,Qwen2_5-32B-Instruct,46254,0.8014225796687854,0.8014225796687854,baseline_notime,46254,0.3752107925801012,0.3752107925801012,0.4262117870886842,0.4262117870886842
1500,1500,grouped,Qwen2_5-72B-Instruct,46254,0.7298612011934102,0.7298612011934102,baseline,46254,0.49362217321745144,0.49362217321745144,0.2362390279759588,0.2362390279759588
1500,1500,grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,46254,0.8322307259912656,0.8322307259912656,baseline,46254,0.5847494270765772,0.5847494270765772,0.2474812989146884,0.2474812989146884
1500_original_scale,1500,original_scale,Llama-3_3-70B-Instruct,46254,0.39356596186275783,0.39356596186275783,tanchored,46254,0.2229645003675358,0.2229645003675358,0.17060146149522204,0.17060146149522204
1500_original_scale,1500,original_scale,Mistral-7B-Instruct-v0_3,46254,0.4455182254507718,0.445537490270691,baseline_notime,46254,0.13274527608423056,0.13799613431024407,0.3127729493665412,0.30754135596044696
1500_original_scale,1500,original_scale,Qwen2_5-32B-Instruct,46254,0.5132096683530073,0.5132096683530073,baseline,46254,0.23252043066545597,0.23252043066545597,0.28068923768755133,0.28068923768755133
1500_original_scale,1500,original_scale,Qwen2_5-72B-Instruct,46254,0.46173303930470877,0.46173303930470877,baseline,46254,0.23632550698317983,0.23632550698317983,0.22540753232152894,0.22540753232152894
1500_original_scale,1500,original_scale,Qwen2_5-7B-Instruct-GPTQ-Int4,46254,0.29586630345483633,0.29586630345483633,tanchored,46254,0.12189216067799542,0.12189216067799542,0.17397414277684092,0.17397414277684092
