Task,variant,baseline_specification,publication_role,model,prompt_variant,prompt_label,n_total,modal_category,accuracy_majority,accuracy_prompt,accuracy_ordinal,prompt_minus_ordinal,prompt_mae,ordinal_mae,prompt_within_one,ordinal_within_one,n_ordinal_metric,Model
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ1 target-profile comparison,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.3404005347665798,0.5358199079013113,-0.1954193731347315,NA,NA,NA,NA,0,Llama-3.3-70B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ1 target-profile comparison,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.41401196472701246,0.5358199079013113,-0.12180794317429884,NA,NA,NA,NA,0,Mistral-7B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-32B-Instruct,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.42519344775897694,0.5358199079013113,-0.11062646014233436,NA,NA,NA,NA,0,Qwen2.5-32B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-72B-Instruct,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.45605055974936193,0.5358199079013113,-0.07976934815194936,NA,NA,NA,NA,0,Qwen2.5-72B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.3697451756222063,0.5358199079013113,-0.16607473227910496,NA,NA,NA,NA,0,Qwen2.5-7B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,74051,4,0.26398022984159564,0.22549324114461655,0.3127844323506772,-0.08729119120606066,1.419616210449555,1.3137027183967809,0.5908090370150302,0.6068115217890373,74051,Llama-3.3-70B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,74051,4,0.26398022984159564,0.137499831197418,0.3127844323506772,-0.17528460115325922,2.706977811989358,1.3137111912382342,0.2798147172817999,0.6068009021053626,74049,Mistral-7B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-32B-Instruct,baseline_notime,No-time baseline,74051,4,0.26398022984159564,0.2843985901608351,0.3127844323506772,-0.02838584218984213,1.5739017704014802,1.3137027183967809,0.56721718815411,0.6068115217890373,74051,Qwen2.5-32B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-72B-Instruct,baseline_notime,No-time baseline,74051,4,0.26398022984159564,0.25223157013409675,0.3127844323506772,-0.06055286221658046,1.4684879339914385,1.3137027183967809,0.5675953059377996,0.6068115217890373,74051,Qwen2.5-72B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline_notime,No-time baseline,74051,4,0.26398022984159564,0.1324492579438495,0.3127844323506772,-0.1803351744068277,1.845012221306937,1.3137027183967809,0.46781272366342114,0.6068115217890373,74051,Qwen2.5-7B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ1 target-profile comparison,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.35790439642946525,0.6323517143572204,-0.2744473179277551,NA,NA,NA,NA,0,Llama-3.3-70B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ1 target-profile comparison,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,59911,Neutral,0.5867870674834338,0.2728881173741049,0.6323379679858456,-0.35944985061174073,NA,NA,NA,NA,0,Mistral-7B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-32B-Instruct,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.3757570701593393,0.6323517143572204,-0.2565946441978811,NA,NA,NA,NA,0,Qwen2.5-32B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-72B-Instruct,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.4819053975139735,0.6323517143572204,-0.15044631684324689,NA,NA,NA,NA,0,Qwen2.5-72B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ1 target-profile comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.5863351964628347,0.6323517143572204,-0.04601651789438565,NA,NA,NA,NA,0,Qwen2.5-7B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.2230249436889964,0.3203303578877117,-0.09730541419871527,1.65073829982481,1.353299407691666,0.5278218069575373,0.6203720697422207,59935,Llama-3.3-70B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ1 target-profile comparison,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.1331442395928923,0.3203303578877117,-0.1871861182948194,2.3238542768462485,1.3544242340170969,0.43474189800766416,0.6200343326802032,57671,Mistral-7B
