Task,variant,baseline_specification,publication_role,model,prompt_variant,n_total,modal_category,accuracy_majority,accuracy_cf,accuracy_trajectory,accuracy_ordinal,trajectory_minus_majority,trajectory_minus_cf,trajectory_minus_ordinal,ordinal_minus_cf,trajectory_mae,ordinal_mae,trajectory_within_one,ordinal_within_one,n_ordinal_metric,Model
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Llama-3_3-70B-Instruct,trajectory,50869,Varies by previous wave,0.4280406534431579,0.6842084570170438,0.6843067487074642,0.6618372682773398,0.2562660952643063,9.829169042041563e-5,0.02246948043012442,-0.022371188739704,NA,NA,NA,NA,0,Llama-3.3-70B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Mistral-7B-Instruct-v0_3,trajectory,50869,Varies by previous wave,0.4280406534431579,0.6842084570170438,0.633706186478995,0.6618372682773398,0.20566553303583712,-0.05050227053804879,-0.02813108179834478,-0.022371188739704,NA,NA,NA,NA,0,Mistral-7B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-32B-Instruct,trajectory,50869,Varies by previous wave,0.4280406534431579,0.6842084570170438,0.6842281153551278,0.6618372682773398,0.25618746191196995,1.965833808403872e-5,0.02239084707778804,-0.022371188739704,NA,NA,NA,NA,0,Qwen2.5-32B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-72B-Instruct,trajectory,50869,Varies by previous wave,0.4280406534431579,0.6842084570170438,0.6765613635023295,0.6618372682773398,0.24852071005917165,-0.00764709351471426,0.01472409522498974,-0.022371188739704,NA,NA,NA,NA,0,Qwen2.5-72B
Climate-growth grouped,1290,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,trajectory,50869,Varies by previous wave,0.4280406534431579,0.6842084570170438,0.6842084570170438,0.6618372682773398,0.2561678035738859,0,0.022371188739704,-0.022371188739704,NA,NA,NA,NA,0,Qwen2.5-7B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Llama-3_3-70B-Instruct,trajectory,50869,4,0.2612593131376673,0.4677898130492048,0.39019835263126856,0.4238927441074132,0.12893903949360125,-0.07759146041793624,-0.03369439147614461,-0.04389706894179163,1.0474552281350136,0.9325129253572902,0.71503273113291,0.7633725844817079,50869,Llama-3.3-70B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Mistral-7B-Instruct-v0_3,trajectory,50869,4,0.2612593131376673,0.4677898130492048,0.3710707896754408,0.4238927441074132,0.10981147653777353,-0.09671902337376398,-0.05282195443197235,-0.04389706894179163,1.3825316007784705,0.9325129253572902,0.6855452240067624,0.7633725844817079,50869,Mistral-7B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-32B-Instruct,trajectory,50869,4,0.2612593131376673,0.4677898130492048,0.46759322966836386,0.4238927441074132,0.20633391653069655,-1.965833808409423e-4,0.04370048556095068,-0.04389706894179163,0.84813933830034,0.9325129253572902,0.8046550944583145,0.7633725844817079,50869,Qwen2.5-32B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-72B-Instruct,trajectory,50869,4,0.2612593131376673,0.4677898130492048,0.37830505809038906,0.4238927441074132,0.11704574495272174,-0.08948475495881575,-0.04558768601702412,-0.04389706894179163,1.038333759263992,0.9325129253572902,0.7338654190174763,0.7633725844817079,50869,Qwen2.5-72B
Climate-growth original scale,1290_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,trajectory,50869,4,0.2612593131376673,0.4677898130492048,0.28406298531522145,0.4238927441074132,0.02280367217755413,-0.18372682773398336,-0.13982975879219173,-0.04389706894179163,1.4399536063221217,0.9325129253572902,0.6028425956869606,0.7633725844817079,50869,Qwen2.5-7B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Llama-3_3-70B-Instruct,trajectory,39550,Neutral,0.5880910240202276,0.8414159292035398,0.6556510745891276,0.8363590391908976,0.06756005056890002,-0.18576485461441217,-0.18070796460176997,-0.0050568900126422,NA,NA,NA,NA,0,Llama-3.3-70B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Mistral-7B-Instruct-v0_3,trajectory,39387,Neutral,0.5882651636326707,0.8416228704902633,0.8000863228984183,0.8366212201995582,0.21182115926574763,-0.041536547591845,-0.0365348973011399,-0.00500165029070509,NA,NA,NA,NA,0,Mistral-7B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-32B-Instruct,trajectory,39550,Neutral,0.5880910240202276,0.8414159292035398,0.8076359039190898,0.8363590391908976,0.21954487989886215,-0.03378002528445001,-0.02872313527180781,-0.0050568900126422,NA,NA,NA,NA,0,Qwen2.5-32B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-72B-Instruct,trajectory,39550,Neutral,0.5880910240202276,0.8414159292035398,0.7296586599241467,0.8363590391908976,0.14156763590391908,-0.11175726927939313,-0.10670037926675092,-0.0050568900126422,NA,NA,NA,NA,0,Qwen2.5-72B
Left-right grouped,1500,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,trajectory,39550,Neutral,0.5880910240202276,0.8414159292035398,0.8407838179519596,0.8363590391908976,0.25269279393173194,-6.321112515802474e-4,0.00442477876106195,-0.0050568900126422,NA,NA,NA,NA,0,Qwen2.5-7B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Llama-3_3-70B-Instruct,trajectory,39550,6,0.3023261694058154,0.5560050568900127,0.39989886219974713,0.4678128950695322,0.09757269279393171,-0.15610619469026554,-0.06791403286978509,-0.08819216182048045,1.0655372945638433,0.7188621997471555,0.7400252844500632,0.8685461441213653,39550,Llama-3.3-70B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Mistral-7B-Instruct-v0_3,trajectory,39550,6,0.3023261694058154,0.5560050568900127,0.4628824273072061,0.4678128950695322,0.16055625790139066,-0.0931226295828066,-0.00493046776232614,-0.08819216182048045,0.7524084047637108,0.71888037624213,0.8560772712331538,0.8685428202988698,39549,Mistral-7B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-32B-Instruct,trajectory,39550,6,0.3023261694058154,0.5560050568900127,0.5248040455120101,0.4678128950695322,0.22247787610619468,-0.03120101137800257,0.05699115044247788,-0.08819216182048045,0.6338811630847029,0.7188621997471555,0.9005056890012643,0.8685461441213653,39550,Qwen2.5-32B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-72B-Instruct,trajectory,39550,6,0.3023261694058154,0.5560050568900127,0.47130214917825536,0.4678128950695322,0.16897597977243994,-0.08470290771175731,0.00348925410872313,-0.08819216182048045,0.7281921618204804,0.7188621997471555,0.874007585335019,0.8685461441213653,39550,Qwen2.5-72B
Left-right original scale,1500_original_scale,expanding_window_ordinal_probit,RQ2 matched prior-state comparison,Qwen2_5-7B-Instruct-GPTQ-Int4,trajectory,39550,6,0.3023261694058154,0.5560050568900127,0.3109987357774968,0.4678128950695322,0.0086725663716814,-0.24500632111251583,-0.1568141592920354,-0.08819216182048045,1.394209860935525,0.7188621997471555,0.6689001264222503,0.8685461441213653,39550,Qwen2.5-7B
