Task,Model,Comparison,primary_N,parsed_N,llm_mae,ordinal_mae,llm_within_one,ordinal_within_one
Climate-growth original scale,Llama-3.3-70B,RQ1,74051,74051,1.419616210449555,1.3137027183967807,0.5908090370150302,0.6068115217890373
Climate-growth original scale,Mistral-7B,RQ1,74051,74049,2.7069778119893586,1.3137111912382342,0.2798147172817999,0.6068009021053626
Climate-growth original scale,Qwen2.5-32B,RQ1,74051,74051,1.5739017704014802,1.3137027183967807,0.56721718815411,0.6068115217890373
Climate-growth original scale,Qwen2.5-72B,RQ1,74051,74051,1.4684879339914383,1.3137027183967807,0.5675953059377996,0.6068115217890373
Climate-growth original scale,Qwen2.5-7B,RQ1,74051,74051,1.845012221306937,1.3137027183967807,0.46781272366342114,0.6068115217890373
Climate-growth original scale,Llama-3.3-70B,RQ2,50869,50869,1.0474552281350136,0.9325129253572902,0.71503273113291,0.7633725844817079
Climate-growth original scale,Mistral-7B,RQ2,50869,50869,1.3825316007784703,0.9325129253572902,0.6855452240067624,0.7633725844817079
Climate-growth original scale,Qwen2.5-32B,RQ2,50869,50869,0.84813933830034,0.9325129253572902,0.8046550944583145,0.7633725844817079
Climate-growth original scale,Qwen2.5-72B,RQ2,50869,50869,1.0383337592639919,0.9325129253572902,0.7338654190174763,0.7633725844817079
Climate-growth original scale,Qwen2.5-7B,RQ2,50869,50869,1.4399536063221214,0.9325129253572902,0.6028425956869606,0.7633725844817079
Left-right original scale,Llama-3.3-70B,RQ1,59935,59935,1.6507382998248101,1.353299407691666,0.5278218069575373,0.6203720697422207
Left-right original scale,Mistral-7B,RQ1,59935,57671,2.3238542768462485,1.3544242340170969,0.43474189800766416,0.6200343326802032
Left-right original scale,Qwen2.5-32B,RQ1,59935,59935,1.6781513306081588,1.353299407691666,0.5134896137482272,0.6203720697422207
Left-right original scale,Qwen2.5-72B,RQ1,59935,59935,1.4295486777342121,1.353299407691666,0.6304830232752148,0.6203720697422207
Left-right original scale,Qwen2.5-7B,RQ1,59935,59935,2.1238675231500794,1.353299407691666,0.4280470509718862,0.6203720697422207
Left-right original scale,Llama-3.3-70B,RQ2,39550,39550,1.0655372945638433,0.7188621997471555,0.7400252844500632,0.8685461441213653
Left-right original scale,Mistral-7B,RQ2,39550,39549,0.7524084047637108,0.71888037624213,0.8560772712331538,0.8685428202988698
Left-right original scale,Qwen2.5-32B,RQ2,39550,39550,0.6338811630847029,0.7188621997471555,0.9005056890012643,0.8685461441213653
Left-right original scale,Qwen2.5-72B,RQ2,39550,39550,0.7281921618204804,0.7188621997471555,0.874007585335019,0.8685461441213653
Left-right original scale,Qwen2.5-7B,RQ2,39550,39550,1.3942098609355247,0.7188621997471555,0.6689001264222503,0.8685461441213653
