Task,Model,Comparison,primary_N,joint_N,llm_accuracy,ordinal_accuracy,multinomial_accuracy,llm_minus_ordinal,llm_minus_multinomial,ordinal_minus_multinomial
Climate-growth grouped,Llama-3.3-70B,RQ1,74051,74051,0.3404005347665798,0.5358199079013113,0.560100471296809,-0.1954193731347315,-0.21969993653022918,-0.024280563395497667
Climate-growth grouped,Mistral-7B,RQ1,74051,74051,0.41401196472701246,0.5358199079013113,0.560100471296809,-0.12180794317429883,-0.1460885065697965,-0.024280563395497667
Climate-growth grouped,Qwen2.5-32B,RQ1,74051,74051,0.42519344775897694,0.5358199079013113,0.560100471296809,-0.11062646014233435,-0.13490702353783202,-0.024280563395497667
Climate-growth grouped,Qwen2.5-72B,RQ1,74051,74051,0.45605055974936193,0.5358199079013113,0.560100471296809,-0.07976934815194936,-0.10404991154744703,-0.024280563395497667
Climate-growth grouped,Qwen2.5-7B,RQ1,74051,74051,0.3697451756222063,0.5358199079013113,0.560100471296809,-0.16607473227910496,-0.19035529567460263,-0.024280563395497667
Climate-growth grouped,Llama-3.3-70B,RQ2,50869,50869,0.6843067487074642,0.6618372682773398,0.6866264326013879,0.022469480430124422,-0.002319683893923674,-0.024789164324048096
Climate-growth grouped,Mistral-7B,RQ2,50869,50869,0.633706186478995,0.6618372682773398,0.6866264326013879,-0.02813108179834478,-0.05292024612239288,-0.024789164324048096
Climate-growth grouped,Qwen2.5-32B,RQ2,50869,50869,0.6842281153551278,0.6618372682773398,0.6866264326013879,0.022390847077788045,-0.002398317246260051,-0.024789164324048096
Climate-growth grouped,Qwen2.5-72B,RQ2,50869,50869,0.6765613635023295,0.6618372682773398,0.6866264326013879,0.014724095224989742,-0.010065069099058355,-0.024789164324048096
Climate-growth grouped,Qwen2.5-7B,RQ2,50869,50869,0.6842084570170438,0.6618372682773398,0.6866264326013879,0.022371188739704007,-0.0024179755843440898,-0.024789164324048096
Climate-growth original scale,Llama-3.3-70B,RQ1,74051,74051,0.22549324114461655,0.3127844323506772,0.3425341994031141,-0.08729119120606066,-0.11704095825849753,-0.02974976705243687
Climate-growth original scale,Mistral-7B,RQ1,74051,74051,0.137499831197418,0.3127844323506772,0.3425341994031141,-0.17528460115325922,-0.2050343682056961,-0.02974976705243687
Climate-growth original scale,Qwen2.5-32B,RQ1,74051,74051,0.2843985901608351,0.3127844323506772,0.3425341994031141,-0.028385842189842136,-0.05813560924227901,-0.02974976705243687
Climate-growth original scale,Qwen2.5-72B,RQ1,74051,74051,0.25223157013409675,0.3127844323506772,0.3425341994031141,-0.06055286221658046,-0.09030262926901733,-0.02974976705243687
Climate-growth original scale,Qwen2.5-7B,RQ1,74051,74051,0.1324492579438495,0.3127844323506772,0.3425341994031141,-0.1803351744068277,-0.21008494145926457,-0.02974976705243687
Climate-growth original scale,Llama-3.3-70B,RQ2,50869,50869,0.39019835263126856,0.4238927441074132,0.4721146474277065,-0.033694391476144614,-0.08191629479643792,-0.0482219033202933
Climate-growth original scale,Mistral-7B,RQ2,50869,50869,0.3710707896754408,0.4238927441074132,0.4721146474277065,-0.05282195443197235,-0.10104385775226565,-0.0482219033202933
Climate-growth original scale,Qwen2.5-32B,RQ2,50869,50869,0.46759322966836386,0.4238927441074132,0.4721146474277065,0.043700485560950686,-0.004521417759342616,-0.0482219033202933
Climate-growth original scale,Qwen2.5-72B,RQ2,50869,50869,0.37830505809038906,0.4238927441074132,0.4721146474277065,-0.04558768601702412,-0.09380958933731742,-0.0482219033202933
Climate-growth original scale,Qwen2.5-7B,RQ2,50869,50869,0.28406298531522145,0.4238927441074132,0.4721146474277065,-0.13982975879219173,-0.18805166211248503,-0.0482219033202933
Left-right grouped,Llama-3.3-70B,RQ1,59935,59935,0.35790439642946525,0.6323517143572204,0.6381580045048802,-0.2744473179277551,-0.280253608075415,-0.005806290147659876
Left-right grouped,Mistral-7B,RQ1,59911,59911,0.2728881173741049,0.6323379679858456,0.638146584099748,-0.35944985061174073,-0.3652584667256431,-0.005808616113902376
Left-right grouped,Qwen2.5-32B,RQ1,59935,59935,0.3757570701593393,0.6323517143572204,0.6381580045048802,-0.2565946441978811,-0.26240093434554096,-0.005806290147659876
Left-right grouped,Qwen2.5-72B,RQ1,59935,59935,0.4819053975139735,0.6323517143572204,0.6381580045048802,-0.15044631684324689,-0.15625260699090676,-0.005806290147659876
Left-right grouped,Qwen2.5-7B,RQ1,59935,59935,0.5863351964628347,0.6323517143572204,0.6381580045048802,-0.046016517894385656,-0.05182280804204553,-0.005806290147659876
Left-right grouped,Llama-3.3-70B,RQ2,39550,39550,0.6556510745891276,0.8363590391908976,0.8387610619469027,-0.18070796460176997,-0.18310998735777506,-0.0024020227560050955
Left-right grouped,Mistral-7B,RQ2,39387,39387,0.8000863228984183,0.8366212201995582,0.8390077944499454,-0.0365348973011399,-0.03892147155152714,-0.002386574250387241
Left-right grouped,Qwen2.5-32B,RQ2,39550,39550,0.8076359039190898,0.8363590391908976,0.8387610619469027,-0.02872313527180781,-0.031125158027812905,-0.0024020227560050955
Left-right grouped,Qwen2.5-72B,RQ2,39550,39550,0.7296586599241467,0.8363590391908976,0.8387610619469027,-0.10670037926675091,-0.109102402022756,-0.0024020227560050955
Left-right grouped,Qwen2.5-7B,RQ2,39550,39550,0.8407838179519596,0.8363590391908976,0.8387610619469027,0.004424778761061954,0.0020227560050568583,-0.0024020227560050955
Left-right original scale,Llama-3.3-70B,RQ1,59935,59935,0.22302494368899642,0.3203303578877117,0.32762159005589386,-0.09730541419871527,-0.10459664636689744,-0.007291232168182171
Left-right original scale,Mistral-7B,RQ1,59935,59935,0.1331442395928923,0.3203303578877117,0.32762159005589386,-0.1871861182948194,-0.19447735046300157,-0.007291232168182171
Left-right original scale,Qwen2.5-32B,RQ1,59935,59935,0.20759155752064737,0.3203303578877117,0.32762159005589386,-0.11273880036706432,-0.1200300325352465,-0.007291232168182171
Left-right original scale,Qwen2.5-72B,RQ1,59935,59935,0.235004588303996,0.3203303578877117,0.32762159005589386,-0.08532576958371568,-0.09261700175189785,-0.007291232168182171
Left-right original scale,Qwen2.5-7B,RQ1,59935,59935,0.11143739050638192,0.3203303578877117,0.32762159005589386,-0.20889296738132979,-0.21618419954951196,-0.007291232168182171
Left-right original scale,Llama-3.3-70B,RQ2,39550,39550,0.39989886219974713,0.4678128950695322,0.54346396965866,-0.06791403286978509,-0.14356510745891282,-0.07565107458912773
Left-right original scale,Mistral-7B,RQ2,39550,39550,0.4628824273072061,0.4678128950695322,0.54346396965866,-0.004930467762326141,-0.08058154235145387,-0.07565107458912773
Left-right original scale,Qwen2.5-32B,RQ2,39550,39550,0.5248040455120101,0.4678128950695322,0.54346396965866,0.05699115044247788,-0.018659924146649853,-0.07565107458912773
Left-right original scale,Qwen2.5-72B,RQ2,39550,39550,0.47130214917825536,0.4678128950695322,0.54346396965866,0.003489254108723139,-0.07216182048040459,-0.07565107458912773
Left-right original scale,Qwen2.5-7B,RQ2,39550,39550,0.3109987357774968,0.4678128950695322,0.54346396965866,-0.1568141592920354,-0.23246523388116314,-0.07565107458912773
