Task,Model,n,stable_n,changed_n,stable_share,stable_accuracy,changed_accuracy,stable_change_gap,trajectory_accuracy,correct_stable_share,parsed_n,parsed_changed_n,captured_n,direction_aligned_n,previous_agreement,false_persistence,ccr,cda,dccr
Climate-growth grouped,Llama-3.3-70B,59376,40747,18629,0.6862537052007545,0.9989201659017842,0.00327446454452735,0.9956457013572568,0.6865400161681487,0.9985035815916005,59376,18629,84,81,0.9978442468337375,0.9954909012829459,0.0045090987170540555,0.9642857142857143,0.004348059477159267
Climate-growth grouped,Mistral-7B,59376,40747,18629,0.6862537052007545,0.8980047610867058,0.07316549465886521,0.8248392664278406,0.6392144974400431,0.964088106655425,59376,18629,2121,2090,0.8942838857450822,0.8861452573943851,0.1138547426056149,0.9853842527109854,0.11219067046003543
Climate-growth grouped,Qwen2.5-32B,59376,40747,18629,0.6862537052007545,1.0,5.36797466315959e-05,0.9999463202533684,0.6862705470223659,0.9999754589182291,59376,18629,1,1,0.9999831581783886,0.9999463202533684,5.36797466315959e-05,1.0,5.36797466315959e-05
Climate-growth grouped,Qwen2.5-72B,59376,40747,18629,0.6862537052007545,0.9645863499153312,0.04997584411401578,0.9146105058013154,0.6776306925357046,0.9768609419659501,59376,18629,1434,1182,0.9515460792239289,0.9230232433302915,0.07697675666970852,0.8242677824267782,0.06344946051854636
Climate-growth grouped,Qwen2.5-7B,59376,40747,18629,0.6862537052007545,1.0,0.0,1.0,0.6862537052007545,1.0,59376,18629,0,0,1.0,1.0,0.0,,0.0
Climate-growth original scale,Llama-3.3-70B,59376,27736,31640,0.46712476421449745,0.6778194404384194,0.12104930467762326,0.5567701357607961,0.38113042306655887,0.830755634114008,59376,31640,12422,9589,0.6402923740231743,0.6073957016434892,0.39260429835651073,0.7719368861696989,0.30306573957016436
Climate-growth original scale,Mistral-7B,59376,27736,31640,0.46712476421449745,0.6718704932218056,0.08119469026548673,0.5906758029563188,0.3571139854486661,0.878843614412375,59376,31640,11415,7218,0.6544731878199946,0.6392225031605563,0.36077749683944377,0.6323258869908016,0.22812895069532238
Climate-growth original scale,Qwen2.5-32B,59376,27736,31640,0.46712476421449745,0.9973319873089126,0.0020859671302149176,0.9952460201786977,0.466990029641606,0.9976197345643393,59376,31640,222,167,0.9950148208030181,0.9929835651074589,0.007016434892541087,0.7522522522522522,0.005278128950695323
Climate-growth original scale,Qwen2.5-72B,59376,27736,31640,0.46712476421449745,0.6088116527256995,0.15982932996207333,0.44898232276362615,0.3695600916195096,0.7695392608121041,59376,31640,14473,11549,0.5735145513338723,0.5425726927939317,0.4574273072060683,0.7979686312443861,0.3650126422250316
Climate-growth original scale,Qwen2.5-7B,59376,27736,31640,0.46712476421449745,0.5068503028554947,0.06836283185840708,0.4384874709970876,0.2731911883589329,0.8666543369705937,59376,31640,14858,10271,0.5194017784963622,0.5304045512010114,0.4695954487989886,0.6912774263023287,0.32462073324905183
Left-right grouped,Llama-3.3-70B,46254,38520,7734,0.8327928395382022,0.7631619937694704,0.1373157486423584,0.625846245127112,0.6585160202360877,0.9651334580912045,46254,7734,1830,1458,0.7631988584771047,0.7633824670287044,0.2366175329712956,0.7967213114754098,0.18851823118696664
Left-right grouped,Mistral-7B,46053,38369,7684,0.8331487633813215,0.9456331934634731,0.036309213951067155,0.909323979512406,0.7939113629948104,0.992369126415404,46053,7684,470,383,0.9444987297244479,0.9388339406559084,0.06116605934409162,0.8148936170212766,0.049843831337844875
Left-right grouped,Qwen2.5-32B,46254,38520,7734,0.8327928395382022,0.9561266874350987,0.030902508404447894,0.9252241790306508,0.8014225796687854,0.9935525641371497,46254,7734,368,325,0.955506550784797,0.9524178950090509,0.04758210499094906,0.8831521739130435,0.042022239462115335
Left-right grouped,Qwen2.5-72B,46254,38520,7734,0.8327928395382022,0.8527258566978193,0.11792086889061287,0.7348049878072065,0.7298612011934102,0.9729849817826357,46254,7734,1457,1315,0.8458511696285727,0.8116110680113783,0.18838893198862167,0.9025394646533974,0.17002844582363588
Left-right grouped,Qwen2.5-7B,46254,38520,7734,0.8327928395382022,0.9992211838006231,0.000517196793379881,0.9987039870072432,0.8322307259912656,0.9998960877019796,46254,7734,5,5,0.9992433086868163,0.9993535040082752,0.0006464959917248513,1.0,0.0006464959917248513
Left-right original scale,Llama-3.3-70B,46254,25111,21143,0.5428935875816145,0.6217992115009359,0.12249917230288984,0.499300039198046,0.39356596186275783,0.8577235772357723,46254,21143,8988,6153,0.6003588878799672,0.5748947642245661,0.42510523577543397,0.6845794392523364,0.29101830393037886
Left-right original scale,Mistral-7B,46254,25111,21143,0.5428935875816145,0.6846800207080562,0.16251241545665232,0.5221676052514039,0.4459938599904873,0.833438363468903,46252,21142,8263,5187,0.6501772896307186,0.609166587834642,0.39083341216535805,0.6277381096454072,0.24534102733894617
Left-right original scale,Qwen2.5-32B,46254,25111,21143,0.5428935875816145,0.9097208394727411,0.042283498084472404,0.8674373413882687,0.5132096683530073,0.9623388659533237,46254,21143,1992,1531,0.9079214770614433,0.905784420375538,0.094215579624462,0.768574297188755,0.07241167289410207
Left-right original scale,Qwen2.5-72B,46254,25111,21143,0.5428935875816145,0.7685476484409223,0.09733718015418814,0.6712104682867341,0.46173303930470877,0.9036381514257621,46254,21143,5087,3660,0.7643663250745881,0.7594002743224708,0.2405997256775292,0.719481030076666,0.17310693846663197
Left-right original scale,Qwen2.5-7B,46254,25111,21143,0.5428935875816145,0.4687188881366732,0.09057371233978148,0.37814517579689166,0.29586630345483633,0.8600657654366094,46254,21143,10723,7004,0.47974229255848144,0.4928345078749468,0.5071654921250532,0.6531754173272405,0.33126803197275695
