task,Model,prompt,nontrajectory_accuracy,covariates_only_accuracy,trajectory_accuracy,carry_forward_accuracy,trajectory_minus_carry_forward,stable_share,stable_accuracy,changed_accuracy,false_persistence,family,size_b,model_order,model_label
Climate-growth grouped,Mistral-7B,No-time baseline,0.4140119647270124,0.5358199079013113,0.633706186478995,0.6842084570170438,-0.05050227053804879,0.6862537052007545,0.8980047610867058,0.07316549465886521,0.8861452573943851,Mistral,7,1,"Mistral
7B"
Climate-growth original scale,Mistral-7B,No-time baseline,0.137499831197418,0.3127844323506772,0.3710707896754408,0.4677898130492048,-0.09671902337376398,0.46712476421449745,0.6718704932218056,0.08119469026548673,0.6392225031605563,Mistral,7,1,"Mistral
7B"
Left-right grouped,Mistral-7B,No-time baseline,0.2728881173741049,0.6323379679858456,0.8000863228984183,0.8416228704902633,-0.041536547591845,0.8331487633813215,0.9456331934634731,0.036309213951067155,0.9388339406559084,Mistral,7,1,"Mistral
7B"
Left-right original scale,Mistral-7B,No-time baseline,0.1331442395928923,0.3203303578877117,0.4628824273072061,0.5560050568900127,-0.0931226295828066,0.5428935875816145,0.6846800207080562,0.16251241545665232,0.609166587834642,Mistral,7,1,"Mistral
7B"
Climate-growth grouped,Qwen2.5-7B,No-time baseline,0.3697451756222063,0.5358199079013113,0.6842084570170438,0.6842084570170438,0.0,0.6862537052007545,1.0,0.0,1.0,Qwen,7,2,"Qwen
7B"
Climate-growth original scale,Qwen2.5-7B,No-time baseline,0.1324492579438495,0.3127844323506772,0.2840629853152214,0.4677898130492048,-0.1837268277339834,0.46712476421449745,0.5068503028554947,0.06836283185840708,0.5304045512010114,Qwen,7,2,"Qwen
7B"
Left-right grouped,Qwen2.5-7B,No-time baseline,0.5863351964628347,0.6323517143572204,0.8407838179519596,0.8414159292035398,-0.0006321112515802474,0.8327928395382022,0.9992211838006231,0.000517196793379881,0.9993535040082752,Qwen,7,2,"Qwen
7B"
Left-right original scale,Qwen2.5-7B,No-time baseline,0.1114373905063819,0.3203303578877117,0.3109987357774968,0.5560050568900127,-0.24500632111251586,0.5428935875816145,0.4687188881366732,0.09057371233978148,0.4928345078749468,Qwen,7,2,"Qwen
7B"
Climate-growth grouped,Qwen2.5-32B,No-time baseline,0.4251934477589769,0.5358199079013113,0.6842281153551278,0.6842084570170438,1.9658338084038718e-05,0.6862537052007545,1.0,5.36797466315959e-05,0.9999463202533684,Qwen,32,3,"Qwen
32B"
Climate-growth original scale,Qwen2.5-32B,No-time baseline,0.2843985901608351,0.3127844323506772,0.4675932296683638,0.4677898130492048,-0.0001965833808409978,0.46712476421449745,0.9973319873089126,0.0020859671302149176,0.9929835651074589,Qwen,32,3,"Qwen
32B"
Left-right grouped,Qwen2.5-32B,No-time baseline,0.3757570701593393,0.6323517143572204,0.8076359039190898,0.8414159292035398,-0.03378002528445001,0.8327928395382022,0.9561266874350987,0.030902508404447894,0.9524178950090509,Qwen,32,3,"Qwen
32B"
Left-right original scale,Qwen2.5-32B,No-time baseline,0.2075915575206473,0.3203303578877117,0.5248040455120101,0.5560050568900127,-0.031201011378002574,0.5428935875816145,0.9097208394727411,0.042283498084472404,0.905784420375538,Qwen,32,3,"Qwen
32B"
Climate-growth grouped,Llama-3.3-70B,No-time baseline,0.3404005347665798,0.5358199079013113,0.6843067487074642,0.6842084570170438,9.829169042041563e-05,0.6862537052007545,0.9989201659017842,0.00327446454452735,0.9954909012829459,Llama,70,4,"Llama
70B"
Climate-growth original scale,Llama-3.3-70B,No-time baseline,0.2254932411446165,0.3127844323506772,0.3901983526312685,0.4677898130492048,-0.0775914604179363,0.46712476421449745,0.6778194404384194,0.12104930467762326,0.6073957016434892,Llama,70,4,"Llama
70B"
Left-right grouped,Llama-3.3-70B,No-time baseline,0.3579043964294652,0.6323517143572204,0.6556510745891276,0.8414159292035398,-0.18576485461441217,0.8327928395382022,0.7631619937694704,0.1373157486423584,0.7633824670287044,Llama,70,4,"Llama
70B"
Left-right original scale,Llama-3.3-70B,No-time baseline,0.2230249436889964,0.3203303578877117,0.3998988621997471,0.5560050568900127,-0.1561061946902656,0.5428935875816145,0.6217992115009359,0.12249917230288984,0.5748947642245661,Llama,70,4,"Llama
70B"
Climate-growth grouped,Qwen2.5-72B,No-time baseline,0.4560505597493619,0.5358199079013113,0.6765613635023295,0.6842084570170438,-0.007647093514714265,0.6862537052007545,0.9645863499153312,0.04997584411401578,0.9230232433302915,Qwen,72,5,"Qwen
72B"
Climate-growth original scale,Qwen2.5-72B,No-time baseline,0.2522315701340967,0.3127844323506772,0.378305058090389,0.4677898130492048,-0.0894847549588158,0.46712476421449745,0.6088116527256995,0.15982932996207333,0.5425726927939317,Qwen,72,5,"Qwen
72B"
Left-right grouped,Qwen2.5-72B,No-time baseline,0.4819053975139735,0.6323517143572204,0.7296586599241467,0.8414159292035398,-0.11175726927939311,0.8327928395382022,0.8527258566978193,0.11792086889061287,0.8116110680113783,Qwen,72,5,"Qwen
72B"
Left-right original scale,Qwen2.5-72B,No-time baseline,0.235004588303996,0.3203303578877117,0.4713021491782553,0.5560050568900127,-0.08470290771175737,0.5428935875816145,0.7685476484409223,0.09733718015418814,0.7594002743224708,Qwen,72,5,"Qwen
72B"
