Task,model,prompt_variant,prompt_label,n_total,modal_category,accuracy_majority,accuracy_prompt,accuracy_ordinal,prompt_minus_ordinal,prompt_mae,ordinal_mae,prompt_within_one,ordinal_within_one,n_ordinal_metric,Model
Climate-growth grouped,Llama-3_3-70B-Instruct,baseline,Date baseline,74047,Varies by previous wave,0.44609504773994896,0.3411076748551596,0.535835347819628,-0.19472767296446847,NA,NA,NA,NA,0,Llama-3.3-70B
Climate-growth grouped,Mistral-7B-Instruct-v0_3,baseline,Date baseline,74051,Varies by previous wave,0.4460844553078283,0.3929183940797558,0.5358199079013113,-0.14290151382155547,NA,NA,NA,NA,0,Mistral-7B
Climate-growth grouped,Qwen2_5-32B-Instruct,baseline,Date baseline,74051,Varies by previous wave,0.4460844553078283,0.416510242940676,0.5358199079013113,-0.11930966496063528,NA,NA,NA,NA,0,Qwen2.5-32B
Climate-growth grouped,Qwen2_5-72B-Instruct,baseline,Date baseline,74051,Varies by previous wave,0.4460844553078283,0.45633414808712913,0.5358199079013113,-0.07948575981418216,NA,NA,NA,NA,0,Qwen2.5-72B
Climate-growth grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline,Date baseline,74040,Varies by previous wave,0.44605618584548895,0.40160723933009185,0.5358049702863317,-0.13419773095623982,NA,NA,NA,NA,0,Qwen2.5-7B
Climate-growth grouped,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.3404005347665798,0.5358199079013113,-0.1954193731347315,NA,NA,NA,NA,0,Llama-3.3-70B
Climate-growth grouped,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.41401196472701246,0.5358199079013113,-0.12180794317429884,NA,NA,NA,NA,0,Mistral-7B
Climate-growth grouped,Qwen2_5-32B-Instruct,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.42519344775897694,0.5358199079013113,-0.11062646014233436,NA,NA,NA,NA,0,Qwen2.5-32B
Climate-growth grouped,Qwen2_5-72B-Instruct,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.45605055974936193,0.5358199079013113,-0.07976934815194936,NA,NA,NA,NA,0,Qwen2.5-72B
Climate-growth grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline_notime,No-time baseline,74051,Varies by previous wave,0.4460844553078283,0.3697451756222063,0.5358199079013113,-0.16607473227910496,NA,NA,NA,NA,0,Qwen2.5-7B
Climate-growth grouped,Llama-3_3-70B-Instruct,tanchored,Context-anchored prompt,74051,Varies by previous wave,0.4460844553078283,0.3491512606176824,0.5358199079013113,-0.1866686472836289,NA,NA,NA,NA,0,Llama-3.3-70B
Climate-growth grouped,Mistral-7B-Instruct-v0_3,tanchored,Context-anchored prompt,74051,Varies by previous wave,0.4460844553078283,0.4129991492349867,0.5358199079013113,-0.12282075866632458,NA,NA,NA,NA,0,Mistral-7B
