variant,task,baseline,wave,wave_order,ordinal_model,n_train,n_test,predictor_count,predictors_used,n_classes,convergence_code,convergence_message,log_likelihood,max_gradient,hessian_condition,iterations_outer,iterations_inner,threshold_count,thresholds_finite,thresholds_strictly_ordered,min_threshold_gap,probability_rows_valid,max_probability_sum_error,design_column_count,class_prediction_error,probability_prediction_error
1290,Climate-growth grouped,covariates_only,w10,10,not_estimated,0,10614,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290,Climate-growth grouped,covariates_only,w11,11,expanding_window_ordinal_probit_covariates_only,10614,9491,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-9038.48886933226,NA,NA,304,74,2,TRUE,TRUE,0.8298476154719001,TRUE,0,63,NA,NA
1290,Climate-growth grouped,covariates_only,w14,14,expanding_window_ordinal_probit_covariates_only,20105,8494,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-17337.381531625484,NA,NA,337,77,2,TRUE,TRUE,0.8107800854846134,TRUE,1.1102230246251563e-16,65,NA,NA
1290,Climate-growth grouped,covariates_only,w15,15,expanding_window_ordinal_probit_covariates_only,28599,15413,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-25504.386368316456,NA,NA,353,75,2,TRUE,TRUE,0.849773252113835,TRUE,1.1102230246251563e-16,66,NA,NA
1290,Climate-growth grouped,covariates_only,w22,22,expanding_window_ordinal_probit_covariates_only,44012,11813,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-40238.46169975549,NA,NA,374,74,2,TRUE,TRUE,0.8750890078356923,TRUE,1.1102230246251563e-16,66,NA,NA
1290,Climate-growth grouped,covariates_only,w23,23,expanding_window_ordinal_probit_covariates_only,55825,10726,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-51325.40319344219,NA,NA,390,75,2,TRUE,TRUE,0.8607364856489208,TRUE,1.1102230246251563e-16,66,NA,NA
1290,Climate-growth grouped,covariates_only,w25,25,expanding_window_ordinal_probit_covariates_only,66551,9815,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-61696.94799583306,NA,NA,392,75,2,TRUE,TRUE,0.833340040588528,TRUE,1.1102230246251563e-16,68,NA,NA
1290,Climate-growth grouped,covariates_only,w26,26,expanding_window_ordinal_probit_covariates_only,76366,8299,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-71110.31167101211,NA,NA,404,77,2,TRUE,TRUE,0.8224363673328425,TRUE,1.1102230246251563e-16,68,NA,NA
1290,Climate-growth grouped,lag_and_covariates,w11,11,not_estimated,0,8507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290,Climate-growth grouped,lag_and_covariates,w14,14,expanding_window_ordinal_probit_lag_covariates,8507,7318,9,vorwelle_label_cat;kp_010;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-6350.546358866885,NA,NA,286,70,2,TRUE,TRUE,0.954119869704614,TRUE,1.1102230246251563e-16,59,NA,NA
1290,Climate-growth grouped,lag_and_covariates,w15,15,expanding_window_ordinal_probit_lag_covariates,15825,7411,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-12423.69407405644,NA,NA,331,79,2,TRUE,TRUE,1.0333361734065405,TRUE,1.1102230246251563e-16,67,NA,NA
1290,Climate-growth grouped,lag_and_covariates,w22,22,expanding_window_ordinal_probit_lag_covariates,23236,10888,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-18138.24824382121,NA,NA,352,75,2,TRUE,TRUE,1.094324168606137,TRUE,1.1102230246251563e-16,67,NA,NA
1290,Climate-growth grouped,lag_and_covariates,w23,23,expanding_window_ordinal_probit_lag_covariates,34124,9472,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-26880.945352436633,NA,NA,370,74,2,TRUE,TRUE,1.0573015196292006,TRUE,1.1102230246251563e-16,68,NA,NA
