Task,Model,Stable N,Changed N,Stable share,Acc. stable,Acc. changed,Stable-change gap,False persistence among changers,Anchored CCR
Climate-growth grouped,Mistral-7B,"40,747","18,629",0.686,0.898,0.073,0.825,0.886,0.114
Climate-growth grouped,Qwen2.5-32B,"40,747","18,629",0.686,1.000,0.000,1.000,1.000,0.000
Climate-growth grouped,Qwen2.5-7B,"40,747","18,629",0.686,1.000,0.000,1.000,1.000,0.000
Climate-growth grouped,Qwen2.5-72B,"40,747","18,629",0.686,0.965,0.050,0.915,0.923,0.077
Climate-growth grouped,Llama-3.3-70B,"40,747","18,629",0.686,0.999,0.003,0.996,0.995,0.005
Climate-growth original scale,Mistral-7B,"27,736","31,640",0.467,0.672,0.081,0.591,0.639,0.361
Climate-growth original scale,Qwen2.5-32B,"27,736","31,640",0.467,0.997,0.002,0.995,0.993,0.007
Climate-growth original scale,Qwen2.5-7B,"27,736","31,640",0.467,0.507,0.068,0.438,0.530,0.470
Climate-growth original scale,Qwen2.5-72B,"27,736","31,640",0.467,0.609,0.160,0.449,0.543,0.457
Climate-growth original scale,Llama-3.3-70B,"27,736","31,640",0.467,0.678,0.121,0.557,0.607,0.393
Left-right grouped,Mistral-7B,"38,369","7,684",0.833,0.946,0.036,0.909,0.939,0.061
Left-right grouped,Qwen2.5-32B,"38,520","7,734",0.833,0.956,0.031,0.925,0.952,0.048
Left-right grouped,Qwen2.5-7B,"38,520","7,734",0.833,0.999,0.001,0.999,0.999,0.001
Left-right grouped,Qwen2.5-72B,"38,520","7,734",0.833,0.853,0.118,0.735,0.812,0.188
Left-right grouped,Llama-3.3-70B,"38,520","7,734",0.833,0.763,0.137,0.626,0.763,0.237
Left-right original scale,Mistral-7B,"25,111","21,143",0.543,0.685,0.163,0.522,0.609,0.391
Left-right original scale,Qwen2.5-32B,"25,111","21,143",0.543,0.910,0.042,0.867,0.906,0.094
Left-right original scale,Qwen2.5-7B,"25,111","21,143",0.543,0.469,0.091,0.378,0.493,0.507
Left-right original scale,Qwen2.5-72B,"25,111","21,143",0.543,0.769,0.097,0.671,0.759,0.241
Left-right original scale,Llama-3.3-70B,"25,111","21,143",0.543,0.622,0.122,0.499,0.575,0.425
